gene-LOC124192471	GO:0048471,GO:0003684,GO:0003904,GO:0071949,GO:0000719,GO:0018298
gene-LOC124194697	GO:0019005,GO:0005515,GO:0031146
gene-LOC124193991	GO:0005524,GO:0016192,GO:0030705,GO:0005737,GO:0005871,GO:0008574,GO:0007018,GO:0005874,GO:0008017
gene-LOC124194344	GO:0004559,GO:0046872,GO:0006013,GO:0009313,GO:0030246
gene-LOC124195048	GO:0035250,GO:0006486,GO:0006024,GO:0016021,GO:0000139
gene-LOC124194762	GO:0006406,GO:0005524,GO:0003723,GO:0003724,GO:0000398,GO:0016787
gene-LOC124195126	GO:0005634
gene-LOC124194981	GO:0005737,GO:0005524,GO:0005525,GO:0016787,GO:0043022,GO:0043023
gene-LOC124194835	GO:0005737,GO:0005524,GO:0005525,GO:0016787,GO:0043022,GO:0043023
gene-LOC124194482	GO:0007165
gene-LOC124194274	GO:0003723
gene-LOC124192133	GO:0003735,GO:0002181,GO:0022625,GO:0019843
gene-LOC124192088	GO:0005768,GO:0006464,GO:0015031
gene-LOC124192059	GO:0005615,GO:0004866,GO:0005515,GO:0016021,GO:0010951
gene-LOC124192117	GO:0031314,GO:0004395,GO:0008425,GO:0008689,GO:0006744,GO:0032259
gene-LOC124192102	GO:0031314,GO:0004395,GO:0008425,GO:0008689,GO:0006744,GO:0032259
gene-LOC124192094	GO:0009072,GO:0003868,GO:0046872
gene-LOC124192125	GO:0005739,GO:0048039,GO:0006744,GO:0045333
gene-LOC124201752	GO:0005777,GO:0043190,GO:0004521,GO:0004674,GO:0005524,GO:0080019,GO:0102965,GO:0106310,GO:0006397,GO:0006468,GO:0006629,GO:0030968,GO:0035336,GO:0055085,GO:0090502
gene-LOC124200329	GO:0006207,GO:0016021,GO:0004152,GO:0044205,GO:0005743
gene-LOC124200309	GO:0005887,GO:0035725,GO:0015280
gene-LOC124197999	GO:0050919,GO:0016021,GO:0048843,GO:0045499,GO:0030215,GO:0071526,GO:0030335
gene-LOC124198252	GO:0005615,GO:0016020,GO:0004252,GO:0006508
gene-LOC124198232	GO:0005975,GO:0016798
gene-LOC124192473	GO:0005615,GO:0004252,GO:0006508
gene-LOC124198231	GO:0005975,GO:0016798
gene-LOC124198270	GO:0005615,GO:0004252,GO:0006508
gene-LOC124198364	GO:0004252,GO:0006508
gene-LOC124192476	GO:0004252,GO:0006508
gene-LOC124198345	GO:0004252,GO:0006508
gene-LOC124198327	GO:0004252,GO:0006508
gene-LOC124198356	GO:0004252,GO:0006508
gene-LOC124198319	GO:0004252,GO:0006508
gene-LOC124198310	GO:0004252,GO:0006508
gene-LOC124198290	GO:0046872
gene-LOC124192576	GO:0005524,GO:0006508,GO:0004197,GO:0004672,GO:0006468
