gene,color,number
gene-LOC124188683,turquoise,1
gene-LOC124188685,turquoise,1
gene-LOC124188687,turquoise,1
gene-LOC124188688,turquoise,1
gene-LOC124188690,turquoise,1
gene-LOC124188692,turquoise,1
gene-LOC124188693,turquoise,1
gene-LOC124188695,turquoise,1
gene-LOC124188697,turquoise,1
gene-LOC124188699,turquoise,1
gene-LOC124188700,turquoise,1
gene-LOC124188701,turquoise,1
gene-LOC124188702,turquoise,1
gene-LOC124188703,turquoise,1
gene-LOC124188711,turquoise,1
gene-LOC124188712,turquoise,1
gene-LOC124188713,turquoise,1
gene-LOC124188715,turquoise,1
gene-LOC124188716,turquoise,1
gene-LOC124188720,turquoise,1
gene-LOC124188726,turquoise,1
gene-LOC124188728,turquoise,1
gene-LOC124188729,turquoise,1
gene-LOC124188731,turquoise,1
gene-LOC124188733,turquoise,1
gene-LOC124188734,turquoise,1
gene-LOC124188735,turquoise,1
gene-LOC124188736,turquoise,1
gene-LOC124188739,turquoise,1
gene-LOC124188744,turquoise,1
gene-LOC124188748,turquoise,1
gene-LOC124188749,turquoise,1
gene-LOC124188750,turquoise,1
gene-LOC124188752,turquoise,1
gene-LOC124188754,turquoise,1
gene-LOC124188755,turquoise,1
gene-LOC124188756,turquoise,1
gene-LOC124188758,turquoise,1
gene-LOC124188759,turquoise,1
gene-LOC124188760,turquoise,1
gene-LOC124188761,turquoise,1
gene-LOC124188762,turquoise,1
gene-LOC124188763,turquoise,1
gene-LOC124188764,turquoise,1
gene-LOC124188765,turquoise,1
gene-LOC124188766,turquoise,1
gene-LOC124188767,turquoise,1
gene-LOC124188770,turquoise,1
gene-LOC124188773,turquoise,1
gene-LOC124188774,turquoise,1
gene-LOC124188775,turquoise,1
gene-LOC124188776,turquoise,1
gene-LOC124188781,turquoise,1
gene-LOC124188782,turquoise,1
gene-LOC124188784,turquoise,1
gene-LOC124188786,turquoise,1
gene-LOC124188788,turquoise,1
gene-LOC124188789,turquoise,1
gene-LOC124188790,turquoise,1
gene-LOC124188794,turquoise,1
gene-LOC124188797,turquoise,1
gene-LOC124188798,turquoise,1
gene-LOC124188801,turquoise,1
gene-LOC124188803,turquoise,1
gene-LOC124188805,turquoise,1
gene-LOC124188807,turquoise,1
gene-LOC124188810,turquoise,1
gene-LOC124188811,turquoise,1
gene-LOC124188812,turquoise,1
gene-LOC124188813,turquoise,1
gene-LOC124188814,turquoise,1
gene-LOC124188816,turquoise,1
gene-LOC124188819,turquoise,1
gene-LOC124188821,turquoise,1
gene-LOC124188823,turquoise,1
gene-LOC124188824,turquoise,1
gene-LOC124188827,turquoise,1
gene-LOC124188828,turquoise,1
gene-LOC124188833,turquoise,1
gene-LOC124188839,turquoise,1
gene-LOC124188840,turquoise,1
gene-LOC124188842,turquoise,1
gene-LOC124188843,turquoise,1
gene-LOC124188849,turquoise,1
gene-LOC124188852,turquoise,1
gene-LOC124188857,turquoise,1
gene-LOC124188858,turquoise,1
gene-LOC124188863,turquoise,1
gene-LOC124188864,turquoise,1
gene-LOC124188866,turquoise,1
gene-LOC124188867,turquoise,1
gene-LOC124188871,turquoise,1
gene-LOC124188874,turquoise,1
gene-LOC124188877,turquoise,1
gene-LOC124188880,turquoise,1
gene-LOC124188882,turquoise,1
gene-LOC124188883,turquoise,1
gene-LOC124188887,turquoise,1
gene-LOC124188888,turquoise,1
gene-LOC124188890,turquoise,1
gene-LOC124188893,turquoise,1
gene-LOC124188894,turquoise,1
gene-LOC124188895,turquoise,1
gene-LOC124188896,turquoise,1
gene-LOC124188898,turquoise,1
gene-LOC124188901,turquoise,1
gene-LOC124188902,turquoise,1
gene-LOC124188908,turquoise,1
gene-LOC124188909,turquoise,1
gene-LOC124188911,turquoise,1
gene-LOC124188912,turquoise,1
gene-LOC124188918,turquoise,1
gene-LOC124188921,turquoise,1
gene-LOC124188922,turquoise,1
gene-LOC124188924,turquoise,1
gene-LOC124188926,turquoise,1
gene-LOC124188931,turquoise,1
gene-LOC124188932,turquoise,1
gene-LOC124188933,turquoise,1
gene-LOC124188941,turquoise,1
gene-LOC124188944,turquoise,1
gene-LOC124188945,turquoise,1
gene-LOC124188947,turquoise,1
gene-LOC124188949,turquoise,1
gene-LOC124188953,turquoise,1
gene-LOC124188954,turquoise,1
gene-LOC124188955,turquoise,1
gene-LOC124188957,turquoise,1
gene-LOC124188958,turquoise,1
gene-LOC124188959,turquoise,1
gene-LOC124188960,turquoise,1
gene-LOC124188962,turquoise,1
gene-LOC124188964,turquoise,1
gene-LOC124188970,turquoise,1
gene-LOC124188971,turquoise,1
gene-LOC124188972,turquoise,1
gene-LOC124188978,turquoise,1
gene-LOC124188989,turquoise,1
gene-LOC124188990,turquoise,1
gene-LOC124188993,turquoise,1
gene-LOC124188997,turquoise,1
gene-LOC124188999,turquoise,1
gene-LOC124189000,turquoise,1
gene-LOC124189002,turquoise,1
gene-LOC124189003,turquoise,1
gene-LOC124189006,turquoise,1
gene-LOC124189009,turquoise,1
gene-LOC124189010,turquoise,1
gene-LOC124189011,turquoise,1
gene-LOC124189017,turquoise,1
gene-LOC124189018,turquoise,1
gene-LOC124189019,turquoise,1
gene-LOC124189020,turquoise,1
gene-LOC124189021,turquoise,1
gene-LOC124189022,turquoise,1
gene-LOC124189023,turquoise,1
gene-LOC124189026,turquoise,1
gene-LOC124189028,turquoise,1
gene-LOC124189029,turquoise,1
gene-LOC124189032,turquoise,1
gene-LOC124189035,turquoise,1
gene-LOC124189036,turquoise,1
gene-LOC124189037,turquoise,1
gene-LOC124189038,turquoise,1
gene-LOC124189040,turquoise,1
gene-LOC124189042,turquoise,1
gene-LOC124189045,turquoise,1
gene-LOC124189049,turquoise,1
gene-LOC124189067,turquoise,1
gene-LOC124189105,turquoise,1
gene-LOC124189137,turquoise,1
gene-LOC124189179,turquoise,1
gene-LOC124189195,turquoise,1
gene-LOC124189206,turquoise,1
gene-LOC124189222,turquoise,1
gene-LOC124189249,turquoise,1
gene-LOC124189334,turquoise,1
gene-LOC124189434,turquoise,1
gene-LOC124189450,turquoise,1
gene-LOC124189492,turquoise,1
gene-LOC124189650,turquoise,1
gene-LOC124189654,turquoise,1
gene-LOC124189655,turquoise,1
gene-LOC124189656,turquoise,1
gene-LOC124189657,turquoise,1
gene-LOC124189658,turquoise,1
gene-LOC124189660,turquoise,1
gene-LOC124189661,turquoise,1
gene-LOC124189663,turquoise,1
gene-LOC124189665,turquoise,1
gene-LOC124189668,turquoise,1
gene-LOC124189669,turquoise,1
gene-LOC124189670,turquoise,1
gene-LOC124189671,turquoise,1
gene-LOC124189676,turquoise,1
gene-LOC124189681,turquoise,1
gene-LOC124189682,turquoise,1
gene-LOC124189686,turquoise,1
gene-LOC124189687,turquoise,1
gene-LOC124189688,turquoise,1
gene-LOC124189690,turquoise,1
gene-LOC124189691,turquoise,1
gene-LOC124189692,turquoise,1
gene-LOC124189693,turquoise,1
gene-LOC124189695,turquoise,1
gene-LOC124189696,turquoise,1
gene-LOC124189697,turquoise,1
gene-LOC124189699,turquoise,1
gene-LOC124189702,turquoise,1
gene-LOC124189704,turquoise,1
gene-LOC124189705,turquoise,1
gene-LOC124189707,turquoise,1
gene-LOC124189709,turquoise,1
gene-LOC124189710,turquoise,1
gene-LOC124189713,turquoise,1
gene-LOC124189716,turquoise,1
gene-LOC124189717,turquoise,1
gene-LOC124189718,turquoise,1
gene-LOC124189720,turquoise,1
gene-LOC124189721,turquoise,1
gene-LOC124189722,turquoise,1
gene-LOC124189724,turquoise,1
gene-LOC124189728,turquoise,1
gene-LOC124189729,turquoise,1
gene-LOC124189730,turquoise,1
gene-LOC124189734,turquoise,1
gene-LOC124189738,turquoise,1
gene-LOC124189741,turquoise,1
gene-LOC124189742,turquoise,1
gene-LOC124189743,turquoise,1
gene-LOC124189744,turquoise,1
gene-LOC124189746,turquoise,1
gene-LOC124189747,turquoise,1
gene-LOC124189748,turquoise,1
gene-LOC124189754,turquoise,1
gene-LOC124189755,turquoise,1
gene-LOC124189757,turquoise,1
gene-LOC124189759,turquoise,1
gene-LOC124189760,turquoise,1
gene-LOC124189762,turquoise,1
gene-LOC124189765,turquoise,1
gene-LOC124189768,turquoise,1
gene-LOC124189769,turquoise,1
gene-LOC124189772,turquoise,1
gene-LOC124189774,turquoise,1
gene-LOC124189776,turquoise,1
gene-LOC124189781,turquoise,1
gene-LOC124189789,turquoise,1
gene-LOC124189791,turquoise,1
gene-LOC124189793,turquoise,1
gene-LOC124189794,turquoise,1
gene-LOC124189796,turquoise,1
gene-LOC124189797,turquoise,1
gene-LOC124189798,turquoise,1
gene-LOC124189799,turquoise,1
gene-LOC124189804,turquoise,1
gene-LOC124189806,turquoise,1
gene-LOC124189807,turquoise,1
gene-LOC124189809,turquoise,1
gene-LOC124189810,turquoise,1
gene-LOC124189811,turquoise,1
gene-LOC124189812,turquoise,1
gene-LOC124189818,turquoise,1
gene-LOC124189819,turquoise,1
gene-LOC124189822,turquoise,1
gene-LOC124189823,turquoise,1
gene-LOC124189824,turquoise,1
gene-LOC124189825,turquoise,1
gene-LOC124189827,turquoise,1
gene-CYTB,grey,2
gene-LOC124188267,grey,2
gene-LOC124188282,grey,2
gene-LOC124188283,grey,2
gene-LOC124188286,grey,2
gene-LOC124188288,grey,2
gene-LOC124188289,grey,2
gene-LOC124188291,grey,2
gene-LOC124188292,grey,2
gene-LOC124188300,grey,2
gene-LOC124188307,grey,2
gene-LOC124188313,grey,2
gene-LOC124188315,grey,2
gene-LOC124188318,grey,2
gene-LOC124188319,grey,2
gene-LOC124188335,grey,2
gene-LOC124188342,grey,2
gene-LOC124188347,grey,2
gene-LOC124188348,grey,2
gene-LOC124188353,grey,2
gene-LOC124188359,grey,2
gene-LOC124188368,grey,2
gene-LOC124188373,grey,2
gene-LOC124188374,grey,2
