logFC,logCPM,PValue,FDR,,
BJP76_RS20015,3.547131832,4.518871561,3.77E-39,1.24E-36,
BJP76_RS22440,3.54025222,3.75757585,2.50E-21,1.24E-19,
BJP76_RS23540,3.539303796,7.63334315,3.67E-16,8.77E-15,
BJP76_RS06070,3.538865812,9.019430215,1.07E-13,1.69E-12,
BJP76_RS03110,3.533279413,5.833927485,1.07E-13,1.69E-12,
BJP76_RS00820,3.514229325,7.019864055,7.65E-24,5.85E-22,
BJP76_RS04700,3.511581029,8.495727097,3.29E-12,4.05E-11,
BJP76_RS03115,3.503540902,4.063368833,3.73E-13,5.34E-12,
BJP76_RS21600,3.500278713,6.595422226,3.93E-15,7.90E-14,
BJP76_RS22485,3.495981296,5.078229159,7.54E-18,2.37E-16,
BJP76_RS22415,3.455188918,9.084815071,8.05E-23,5.14E-21,
BJP76_RS20165,3.45249453,5.699864128,8.66E-27,1.06E-24,
BJP76_RS17865,3.444110053,8.259541658,4.30E-13,6.08E-12,
BJP76_RS15340,3.425236179,12.30293084,4.27E-11,4.51E-10,
BJP76_RS01650,3.387180513,6.568082638,4.77E-24,3.78E-22,
BJP76_RS11805,3.376451903,8.750140047,2.30E-23,1.67E-21,
BJP76_RS03105,3.327469792,4.77353237,5.32E-17,1.42E-15,
BJP76_RS08725,3.306240321,5.217523884,1.02E-18,3.60E-17,
BJP76_RS03950,3.286463169,5.242712914,1.43E-15,3.05E-14,
BJP76_RS19220,3.268682018,8.128661679,5.63E-16,1.30E-14,
BJP76_RS14710,3.26682307,12.106503,5.69E-12,6.71E-11,
BJP76_RS03410,3.257274767,5.665278717,2.37E-13,3.49E-12,
BJP76_RS23520,3.249983775,6.784441527,1.16E-11,1.32E-10,
BJP76_RS21545,3.238697563,13.44177436,9.07E-13,1.21E-11,
BJP76_RS20030,3.230761462,5.083449067,2.94E-26,3.07E-24,
BJP76_RS08910,3.208911134,5.980816404,3.03E-22,1.80E-20,
BJP76_RS19785,3.200073278,10.57450837,5.78E-14,9.70E-13,
BJP76_RS07660,3.198700029,8.39920705,1.07E-09,8.79E-09,
BJP76_RS12725,3.185906489,4.337567028,7.72E-22,4.18E-20,
BJP76_RS18610,3.180407578,7.633985894,4.49E-10,3.93E-09,
