logFC,logCPM,PValue,FDR,,
BJP76_RS14530,0.886132827,5.401076948,0.000664006,0.001754696,
BJP76_RS22625,0.885648259,7.513549159,0.000118269,0.000368761,
BJP76_RS23460,0.883203541,3.145738543,0.000179403,0.00053633,
BJP76_RS07295,0.882758533,3.575027731,0.008396551,0.016867966,
BJP76_RS07630,0.881020214,7.536899794,0.000256704,0.000744042,
BJP76_RS15510,0.879267144,5.127424736,2.26E-05,8.27E-05,
BJP76_RS16620,0.878948646,5.949566401,0.000171946,0.000517652,
BJP76_RS13310,0.87750198,6.447532388,0.001659157,0.003950418,
BJP76_RS14905,0.877438557,2.833860471,0.022586714,0.040850749,
BJP76_RS11455,0.873615771,6.586364615,0.004977653,0.010617504,
BJP76_RS08360,0.873289578,3.986030853,0.009718401,0.019252419,
BJP76_RS23195,0.873192441,5.756734431,0.008523906,0.017083727,
BJP76_RS15425,0.872596321,5.422136095,0.005434523,0.011438147,
BJP76_RS06460,0.871512744,6.716646742,0.00918357,0.018303008,
BJP76_RS14215,0.870962169,9.958623697,1.69E-05,6.35E-05,
BJP76_RS00975,0.87091393,6.590341918,1.09E-06,5.15E-06,
BJP76_RS18615,0.869039177,6.647241198,0.039308307,0.066356018,
BJP76_RS14295,0.868081696,7.079339827,4.50E-07,2.28E-06,
BJP76_RS12245,0.867543641,3.395816329,0.001549069,0.003725598,
BJP76_RS11890,0.867260695,11.18898804,0.001174759,0.002934157,
BJP76_RS03285,0.867098816,4.198131141,0.000132795,0.000409875,
BJP76_RS00470,0.866323735,6.352672698,0.012285101,0.023679657,
BJP76_RS03930,0.86602765,3.205269524,0.007698288,0.015633951,
BJP76_RS13570,0.8659653,7.244327283,0.042437528,0.070856106,
BJP76_RS01950,0.8658951,5.669061861,0.00070064,0.001841277,
BJP76_RS09450,0.865693603,9.21184445,0.000168439,0.000507807,
BJP76_RS21745,0.8628072,3.904562632,0.013593195,0.025990384,
BJP76_RS02605,0.862771094,4.438195587,0.007438523,0.015149532,
BJP76_RS06260,0.862130297,9.630146649,6.72E-05,0.000220917,
BJP76_RS22815,0.861178465,4.877547856,0.001599905,0.003826365,
BJP76_RS00325,0.857982521,6.112962491,0.006712438,0.013828657,
BJP76_RS02565,0.857604449,5.771387892,0.016589868,0.031067903,
BJP76_RS11815,0.857372585,5.074267324,0.255042209,0.329362202,
BJP76_RS07345,0.854933425,0.776253288,0.23999306,0.313425958,
BJP76_RS12235,0.854931819,1.740976936,0.03683789,0.062776761,
BJP76_RS11475,0.854796967,4.808568063,0.093812522,0.140916283,
BJP76_RS01855,0.854663058,6.792067294,1.60E-06,7.32E-06,
BJP76_RS21685,0.853672938,6.767961741,0.087154012,0.132260307,
BJP76_RS11450,0.852129413,5.412459311,0.006457482,0.013361276,
BJP76_RS03225,0.851771252,3.994762423,0.001286962,0.003171839,
BJP76_RS07845,0.851372795,-0.25408576,0.147605591,0.208547701,
BJP76_RS10105,0.850787588,9.101555564,9.52E-06,3.81E-05,
BJP76_RS11240,0.849917219,5.687461644,8.79E-08,5.09E-07,
BJP76_RS20960,0.849049176,2.804267849,0.006803141,0.013988591,
BJP76_RS18280,0.848940556,8.202791713,5.28E-05,0.000177639,
BJP76_RS21535,0.847797902,6.168436409,0.003411612,0.00758707,
BJP76_RS04325,0.847070374,7.314371139,3.38E-06,1.46E-05,
BJP76_RS11885,0.846403668,6.491941033,0.000148273,0.000453397,
BJP76_RS21965,0.845686051,11.56359527,0.104192744,0.154556181,
BJP76_RS05980,0.845386265,8.148970817,0.000121477,0.000377117,
BJP76_RS22565,0.844167986,7.586721398,0.002313744,0.005345461,
BJP76_RS20055,0.843919894,5.98613793,0.004729018,0.010158016,
BJP76_RS02780,0.843854518,6.796790568,0.005136415,0.010912651,
BJP76_RS01530,0.841247031,3.646439289,0.004022201,0.008816713,
BJP76_RS08620,0.84079537,5.826346651,0.07115624,0.111134573,
BJP76_RS14280,0.838676755,8.625691291,2.76E-05,9.91E-05,
BJP76_RS08555,0.835582223,5.502590997,0.00014556,0.000446057,
BJP76_RS02725,0.830561231,6.581808949,0.021614314,0.039374841,
BJP76_RS07340,0.82929076,4.129362994,0.096494569,0.144337263,
BJP76_RS17175,0.828993889,3.31045774,0.000680861,0.001793702,
BJP76_RS16260,0.826416544,8.834419642,0.013571941,0.02596134,
BJP76_RS14995,0.826253719,-0.865444356,0.24608483,0.320014933,
BJP76_RS05240,0.825276817,5.451029348,0.005482732,0.01152262,
BJP76_RS09705,0.82404213,8.77677658,9.29E-06,3.72E-05,
BJP76_RS00830,0.822808345,6.332222571,0.100158554,0.149244263,
BJP76_RS20655,0.822273834,4.520617523,0.000676532,0.001784495,
BJP76_RS09745,0.821197389,5.507349421,0.000172717,0.000519608,
BJP76_RS08490,0.821194096,9.46304015,0.007429349,0.015145259,
BJP76_RS09295,0.820834709,7.246864021,1.73E-05,6.49E-05,
BJP76_RS02055,0.820261969,8.354976975,1.03E-05,4.08E-05,
BJP76_RS22455,0.818397965,6.806061082,0.002457599,0.005644303,
BJP76_RS11245,0.818202245,4.75983407,0.001201788,0.002989456,
BJP76_RS04330,0.817416394,8.338517957,1.04E-05,4.12E-05,
BJP76_RS21000,0.816792623,5.818075905,2.56E-05,9.27E-05,
BJP76_RS07300,0.815949023,5.537436906,0.012388869,0.023858186,
BJP76_RS05920,0.814675344,6.837538092,0.005016803,0.010695685,
BJP76_RS11895,0.810674646,10.05335028,0.003109125,0.006972322,
BJP76_RS15000,0.809278537,0.558741218,0.053529771,0.08706723,
BJP76_RS15105,0.808834666,7.923602752,2.11E-05,7.77E-05,
BJP76_RS08765,0.808481246,5.973506249,6.71E-05,0.000220513,
BJP76_RS05410,0.808367174,5.240977368,0.024362274,0.043711187,
BJP76_RS15905,0.807792924,4.286086311,0.068222497,0.107349055,
BJP76_RS00575,0.807613393,3.060301733,0.038688048,0.065360511,
BJP76_RS02705,0.80669346,3.128005243,0.027226455,0.048163824,
BJP76_RS19280,0.806318519,7.005054394,1.78E-07,9.66E-07,
BJP76_RS14920,0.806288316,4.205990042,0.002112431,0.00490951,
BJP76_RS15950,0.806066177,7.844193991,0.000944432,0.002415241,
BJP76_RS15410,0.804803171,9.940857562,0.044855489,0.074313603,
BJP76_RS07760,0.80467472,7.607210132,0.000105828,0.000333861,
BJP76_RS00415,0.803944592,10.37750481,0.055675043,0.090111478,
BJP76_RS16445,0.803775406,7.069179851,0.00050816,0.001374247,
BJP76_RS03380,0.802970214,7.32458399,1.85E-05,6.87E-05,
BJP76_RS23755,0.8027787,6.513789535,0.003718375,0.008196892,
BJP76_RS15995,0.802426548,6.89333854,0.000114084,0.000356752,
BJP76_RS05645,0.800145673,5.010616213,0.000857551,0.002212886,
BJP76_RS04815,0.799032118,4.384499529,0.000387753,0.00107511,
BJP76_RS16275,0.798809687,5.037010154,0.011700662,0.022706498,
BJP76_RS03235,0.798695884,6.732919755,0.000213123,0.000627064,
BJP76_RS02325,0.793881679,4.829054509,0.023457352,0.042211401,
BJP76_RS16050,0.790809156,3.74176715,0.013215833,0.025336758,
BJP76_RS21450,0.790586583,6.816552503,0.002008415,0.004693244,
BJP76_RS09485,0.790251057,7.493818262,6.82E-05,0.000223807,
BJP76_RS03870,0.788715264,2.71212355,0.043181173,0.07198021,
BJP76_RS04895,0.787139283,8.382584292,0.00039746,0.00109704,
BJP76_RS04445,0.786374027,7.422403535,9.78E-05,0.000311398,
BJP76_RS03355,0.78331126,6.309680596,0.001672038,0.003976663,
BJP76_RS10895,0.782378563,6.687188639,9.60E-06,3.83E-05,
BJP76_RS12990,0.780939574,8.852083413,0.00203189,0.004740339,
BJP76_RS11565,0.780652414,8.613623155,0.001214924,0.003018624,
BJP76_RS04635,0.78045625,6.129421602,5.94E-05,0.000197879,
BJP76_RS21735,0.780108062,3.501759924,0.014839032,0.028171128,
BJP76_RS08135,0.778513269,6.625877299,0.000673247,0.001776925,
BJP76_RS22920,0.778354308,8.474239729,0.000341138,0.000959534,
BJP76_RS16265,0.777300161,10.43074906,0.00490565,0.010479584,
BJP76_RS05775,0.775549506,2.737539886,0.037211037,0.063164334,
BJP76_RS08510,0.775175943,8.235333382,0.000272633,0.000785955,
BJP76_RS20980,0.774971536,4.276570282,0.002695157,0.006148992,
BJP76_RS23500,0.774342346,8.400651995,0.001076634,0.002714411,
BJP76_RS20490,0.77427434,13.25150688,0.006625061,0.013694778,
BJP76_RS16980,0.773821731,5.057900537,6.27E-05,0.000207675,
BJP76_RS15125,0.77315825,3.370234797,0.032738072,0.056670202,
BJP76_RS05640,0.772615871,6.397772445,0.003250651,0.007259278,
BJP76_RS11070,0.771518269,9.367328323,0.032883813,0.056856059,
BJP76_RS02335,0.771009438,5.744697897,0.003582588,0.007934329,
BJP76_RS16080,0.770555215,6.710965393,0.000105587,0.000333441,
BJP76_RS21485,0.770174901,9.139795587,0.00159104,0.003807291,
BJP76_RS11480,0.769702214,3.849209238,0.172843316,0.238383452,
BJP76_RS16650,0.769171942,8.95047202,0.00075849,0.001977525,
BJP76_RS21975,0.768966012,4.931894228,9.19E-05,0.000294412,
BJP76_RS06360,0.767123741,7.672753193,0.000108297,0.000340645,
BJP76_RS19395,0.767102641,6.704497337,0.014442783,0.027467594,
BJP76_RS00345,0.766917808,7.024291803,0.001753114,0.00415104,
BJP76_RS07425,0.76536325,5.583097388,0.009603555,0.019069026,
BJP76_RS07430,0.765214013,6.581426138,0.086583976,0.131488472,
BJP76_RS18120,0.764351651,5.161919873,0.000105316,0.000333228,
BJP76_RS09830,0.764230012,9.389132946,0.017737928,0.032929779,
BJP76_RS05510,0.763225284,6.686085847,1.64E-05,6.19E-05,
BJP76_RS05280,0.763023111,3.667642038,0.001623552,0.003874261,
BJP76_RS03305,0.762867921,7.91574226,0.000539527,0.001450826,
BJP76_RS11470,0.762790643,6.197087527,0.032019597,0.055586332,
BJP76_RS23530,0.762184309,4.681916754,0.009951441,0.019668568,
BJP76_RS07360,0.760425917,4.816284484,9.95E-06,3.95E-05,
BJP76_RS09475,0.760190206,6.500086258,1.22E-05,4.75E-05,
BJP76_RS03460,0.759621784,3.727119241,0.146273806,0.206853565,
BJP76_RS09290,0.759166175,9.936383821,0.021531686,0.039274457,
BJP76_RS02815,0.758500334,5.777414361,0.041344453,0.069382831,
BJP76_RS20910,0.757790346,8.244637572,0.033924902,0.058467193,
BJP76_RS15090,0.757684111,2.885154269,0.0659994,0.104606972,
BJP76_RS01255,0.755281017,7.954044538,0.037962986,0.064338694,
BJP76_RS01035,0.754444137,7.817729061,0.00036982,0.001030729,
BJP76_RS02750,0.754006022,5.737641497,0.002484797,0.005703708,
BJP76_RS09405,0.753692479,14.8198626,0.129657229,0.186638398,
BJP76_RS22730,0.753597305,6.714181134,0.035673121,0.061037822,
BJP76_RS06040,0.753270766,6.922353232,0.041130769,0.069105502,
BJP76_RS00580,0.753221607,4.929416636,0.04485076,0.074313603,
BJP76_RS20805,0.752917122,6.1189094,0.017906648,0.033185437,
BJP76_RS02600,0.752333206,6.136219864,0.035829942,0.06123263,
BJP76_RS11180,0.751797565,4.386370803,0.001486854,0.003588062,
BJP76_RS16145,0.750463962,7.042875792,0.001749491,0.004144754,
BJP76_RS14765,0.749376982,4.661375473,0.00667095,0.013749801,
BJP76_RS05385,0.749053891,5.834049678,0.00183717,0.004326141,
BJP76_RS06560,0.748311119,6.847607729,0.041058482,0.069011136,
BJP76_RS06205,0.748297562,8.212763685,0.000192432,0.000572481,
BJP76_RS22530,0.748006203,5.088416596,0.00023704,0.00069173,
BJP76_RS01230,0.747005972,6.720854072,4.90E-05,0.000165807,
BJP76_RS11305,0.746748804,6.062214414,0.061857846,0.098700499,
BJP76_RS06545,0.74621225,5.751015947,0.000865737,0.002232662,
BJP76_RS05290,0.744476139,7.541717626,0.000574447,0.001533171,
BJP76_RS05940,0.743570405,8.519703429,0.006209204,0.012909958,
BJP76_RS10110,0.742034786,6.640559931,0.000580184,0.001546555,
BJP76_RS07935,0.741669803,7.928821594,0.003092695,0.006946395,
BJP76_RS09440,0.736956983,8.629353379,0.000105617,0.000333441,
BJP76_RS10120,0.736556137,8.6101298,0.000106529,0.000335826,
BJP76_RS07960,0.735166145,3.021834004,0.139173275,0.198269814,
BJP76_RS00890,0.734832535,7.057234544,0.000884907,0.002280726,
BJP76_RS02880,0.733769771,0.960481822,0.041910801,0.07016822,
BJP76_RS11810,0.73272921,2.443029921,0.260599377,0.334821709,
BJP76_RS00775,0.729737795,7.563676694,0.023017125,0.041488974,
BJP76_RS21875,0.728181951,7.269903386,3.22E-05,0.000113831,
BJP76_RS02615,0.727943182,4.048173724,0.025343196,0.045262504,
BJP76_RS19680,0.727053064,2.913587224,0.055957881,0.090466721,
BJP76_RS18920,0.726719633,9.899773531,0.000274366,0.000790072,
BJP76_RS00305,0.725699382,6.102742522,0.002242754,0.005198283,
BJP76_RS19645,0.725442664,11.43858737,0.022040983,0.040046391,
BJP76_RS09800,0.722268269,6.388599879,0.001965228,0.004609206,
BJP76_RS20250,0.721302629,6.550338155,1.95E-05,7.20E-05,
BJP76_RS08905,0.72113485,3.594917901,0.071730887,0.111868827,
BJP76_RS19055,0.720098737,8.720276177,0.002273604,0.005258401,
BJP76_RS15495,0.719763019,9.064476158,0.009476603,0.018834419,
BJP76_RS04225,0.71892348,3.999345585,0.058491399,0.093959354,
BJP76_RS21170,0.715998803,10.42471179,0.038459986,0.065026541,
BJP76_RS07075,0.715891523,7.608528813,0.110517836,0.162252008,
BJP76_RS03350,0.715746997,8.181092678,0.00067243,0.001775862,
BJP76_RS20450,0.715144812,5.976214514,0.006379774,0.013219657,
BJP76_RS11585,0.714416317,6.838020447,0.000604274,0.001608768,
BJP76_RS23345,0.714060727,5.174086417,0.034095179,0.058737007,
BJP76_RS20625,0.71239741,1.534678886,0.048774242,0.08006232,
BJP76_RS04985,0.711756303,4.01659689,0.037952278,0.064338694,
BJP76_RS07690,0.711567358,2.196907002,0.080788925,0.124096659,
BJP76_RS05250,0.710795117,6.810689947,0.000344347,0.000966021,
BJP76_RS11775,0.709793551,5.38262944,0.066182087,0.10481891,
BJP76_RS02965,0.709063341,9.105744592,6.16E-05,0.000204235,
BJP76_RS21790,0.707339352,5.29591029,0.046926257,0.077384941,
BJP76_RS15070,0.706236469,4.733507832,0.000500936,0.001355566,
BJP76_RS24180,0.70615541,4.775409006,0.143745337,0.20383365,
BJP76_RS05650,0.705507598,4.75749006,0.015083985,0.028598114,
BJP76_RS05245,0.704658663,9.066211054,0.000471349,0.001281172,
BJP76_RS20985,0.704636267,5.609355671,0.001417287,0.003435676,
BJP76_RS14875,0.703756766,6.068100695,0.046021895,0.076010699,
BJP76_RS18110,0.700876922,4.524343362,0.161224086,0.224018278,
BJP76_RS21125,0.69855993,6.419716162,0.000109559,0.000344363,
BJP76_RS14830,0.698447505,7.112230808,0.003917868,0.008596819,
BJP76_RS23980,0.697411861,7.100323569,0.008258692,0.016606604,
BJP76_RS18700,0.693370992,10.36277346,0.009832754,0.019451949,
BJP76_RS21390,0.692347727,7.893270346,0.089272242,0.134948611,
BJP76_RS09105,0.689863839,4.825038067,0.001992056,0.004662654,
BJP76_RS09710,0.688543804,8.461398864,0.039257771,0.066296851,
BJP76_RS19835,0.688369468,4.592758236,0.001833173,0.004321484,
BJP76_RS15255,0.687954306,4.743088651,0.005457231,0.011474658,
BJP76_RS21465,0.687654521,6.317268807,0.016481959,0.030947047,
BJP76_RS16085,0.686749728,8.174091932,0.003211684,0.007183501,
BJP76_RS15110,0.684575,6.251781854,8.68E-05,0.000280079,
BJP76_RS17035,0.684151156,6.902198931,0.002861203,0.006477425,
BJP76_RS08760,0.683446724,7.858043331,0.000175139,0.000525049,
BJP76_RS07615,0.683226343,6.738181741,9.11E-05,0.000292499,
BJP76_RS08610,0.682017876,5.996416515,0.00663335,0.013698684,
BJP76_RS03130,0.681582111,3.815933732,0.025719663,0.04583925,
BJP76_RS04805,0.679907438,7.28713698,0.004334182,0.009409042,
BJP76_RS19340,0.678202153,6.467785123,0.00024315,0.000707632,
BJP76_RS02065,0.677209653,7.538810353,0.091589476,0.137915774,
BJP76_RS11770,0.676339401,4.463618522,0.155908132,0.217929187,
BJP76_RS18760,0.67598462,9.132918103,0.110009401,0.16172742,
BJP76_RS14590,0.674337574,5.839220934,0.004390147,0.009506433,
BJP76_RS18935,0.673700981,8.200103286,0.001331713,0.003263345,
BJP76_RS23805,0.673317477,3.519372721,0.057383129,0.092373886,
BJP76_RS02465,0.671358517,9.012508425,0.007069805,0.01448126,
BJP76_RS08195,0.669535184,7.973238702,0.017006338,0.031751182,
BJP76_RS00300,0.668936838,7.40758459,0.002731234,0.006219368,
BJP76_RS01155,0.668801727,7.484448451,0.001026576,0.002608172,
BJP76_RS17790,0.667527071,16.96494006,0.059661925,0.095552825,
BJP76_RS02290,0.662462054,8.318672455,0.000284572,0.000816008,
BJP76_RS19455,0.659802416,9.223184918,0.002716941,0.006193411,
BJP76_RS16930,0.659693991,7.273590111,0.004166455,0.009067918,
BJP76_RS23340,0.658873903,8.65734523,0.170816221,0.235815621,
BJP76_RS13025,0.658231335,8.14248528,0.001151587,0.002877958,
BJP76_RS17015,0.657901236,7.570479757,0.200354101,0.269891726,
BJP76_RS17085,0.656625636,3.862674244,0.071189622,0.111146161,
BJP76_RS10345,0.655538994,5.571595679,0.009255396,0.018437575,
BJP76_RS11460,0.654972314,10.27726903,0.174990254,0.240492224,
BJP76_RS04505,0.654407211,4.957670791,0.06825669,0.10735007,
BJP76_RS02650,0.65389458,5.390898919,0.042400966,0.070850327,
BJP76_RS02700,0.652768553,3.847980842,0.030376928,0.053122397,
BJP76_RS22010,0.651069432,4.553981594,0.043989669,0.073133893,
BJP76_RS06425,0.64777412,3.90465649,0.094584873,0.14187731,
BJP76_RS06920,0.647238899,10.11632628,0.021676109,0.039470617,
BJP76_RS21315,0.646943194,9.61790536,0.003516799,0.007812879,
BJP76_RS06045,0.646586255,6.444092511,0.027902636,0.049237917,
BJP76_RS01730,0.645303028,3.48563968,0.020316585,0.037216645,
BJP76_RS18655,0.645097562,6.653951663,0.000430445,0.001174464,
BJP76_RS13840,0.644586506,8.318566479,0.024550993,0.044012898,
BJP76_RS10590,0.643966985,3.703672487,0.105353528,0.156007767,
BJP76_RS20140,0.643598569,8.306799385,0.003350813,0.00745961,
BJP76_RS18580,0.643499253,1.256274363,0.049928463,0.081706326,
BJP76_RS06665,0.643278812,6.641149336,0.000392684,0.00108667,
BJP76_RS21770,0.641949048,3.24423156,0.054748053,0.088745329,
BJP76_RS13935,0.64066402,6.900433575,0.026239225,0.046668102,
BJP76_RS22470,0.638496714,5.550869229,0.006979363,0.014330289,
BJP76_RS23000,0.63761208,6.724469042,0.090681926,0.136693424,
BJP76_RS14705,0.636717561,7.548760302,0.004039448,0.008849989,
BJP76_RS06880,0.63558664,5.771859199,0.00441943,0.009560171,
BJP76_RS06940,0.634998486,8.594958656,0.007530408,0.01532209,
BJP76_RS03280,0.633751147,8.842355513,0.000951697,0.002429466,
BJP76_RS01925,0.624087889,4.265606347,0.012241546,0.023606332,
BJP76_RS00520,0.623578969,3.299992223,0.111452847,0.163456539,
BJP76_RS09500,0.622432324,9.769041059,0.002792635,0.006338956,
BJP76_RS06245,0.621903945,6.39733098,0.003407571,0.007582022,
BJP76_RS06265,0.62083829,6.832020967,0.012183194,0.023543927,
BJP76_RS12770,0.620040485,4.658734458,0.013243049,0.02537757,
BJP76_RS03395,0.619860472,10.73886617,0.025339555,0.045262504,
BJP76_RS19275,0.617877908,4.636317775,0.001071789,0.002703788,
BJP76_RS21385,0.617786804,9.40996132,0.147257101,0.208124018,
BJP76_RS23295,0.617003178,9.26809833,0.008095794,0.016309691,
BJP76_RS09665,0.61617968,4.755264359,0.015491443,0.029292786,
BJP76_RS08970,0.614852893,4.640183236,0.009395903,0.018682703,
BJP76_RS19610,0.614424944,3.95715955,0.022339424,0.040506172,
BJP76_RS08235,0.614322487,6.089216657,0.019212066,0.035451231,
BJP76_RS22735,0.613598393,4.237273679,0.063535046,0.101037717,
BJP76_RS07870,0.61353102,9.547130571,0.00024835,0.000722275,
BJP76_RS21345,0.612635293,8.578495326,0.001667277,0.003967545,
BJP76_RS00585,0.611831356,5.245851559,0.002402087,0.005528675,
BJP76_RS04265,0.611550082,7.650875182,0.001601097,0.003827077,
BJP76_RS03555,0.611272461,4.513718497,0.001348471,0.003296862,
BJP76_RS13835,0.610666151,6.3468534,0.012232863,0.023606332,
BJP76_RS02340,0.609688126,5.548749561,0.040898453,0.068850286,
BJP76_RS21980,0.609166769,3.828422381,0.003035495,0.006828669,
BJP76_RS04360,0.608080431,8.330755937,0.006156515,0.012819087,
BJP76_RS08275,0.607992426,5.878075817,0.070099734,0.109632731,
BJP76_RS02655,0.607716782,6.727462602,0.015343143,0.029050861,
BJP76_RS23255,0.606132848,7.8626563,0.187948058,0.255673859,
BJP76_RS09585,0.605229913,8.466951622,0.011618045,0.022590045,
BJP76_RS02270,0.604673616,5.730159882,0.003104137,0.006968439,
BJP76_RS15695,0.604323849,5.587294221,0.071297289,0.111273677,
BJP76_RS20810,0.602206213,4.927724287,0.233349582,0.305775807,
BJP76_RS14760,0.601690032,8.857865437,0.002251001,0.005214576,
BJP76_RS11570,0.600754506,7.764397634,0.004882234,0.010434769,
BJP76_RS07260,0.598877435,2.477156725,0.028095545,0.049537491,
BJP76_RS23420,0.598684463,4.124942871,0.254084112,0.328439768,
BJP76_RS13540,0.598014474,6.198323834,0.005773525,0.01209812,
BJP76_RS16240,0.597886451,5.286963117,0.003277136,0.007310796,
BJP76_RS23560,0.597218444,6.692225829,0.005311881,0.011229709,
BJP76_RS22715,0.596857628,4.389447335,0.00439971,0.009522325,
BJP76_RS02295,0.596263366,6.564934091,0.004179942,0.009092648,
BJP76_RS03450,0.596224711,5.287869566,0.070143436,0.109632731,
BJP76_RS03275,0.595779759,3.712106764,0.226954085,0.299042917,
BJP76_RS13080,0.594715686,7.028880893,0.000825371,0.002137576,
BJP76_RS08830,0.594707238,1.930125592,0.237930274,0.311016642,
BJP76_RS06210,0.594069486,7.043796573,0.001388865,0.003380177,
BJP76_RS04840,0.590879346,5.313677322,0.010520047,0.020632195,
BJP76_RS09975,0.588998307,0.596694328,0.332799736,0.413440415,
BJP76_RS18810,0.588557799,6.82038974,0.004142889,0.009025806,
BJP76_RS02330,0.588337161,5.471389698,0.010231198,0.020147084,
BJP76_RS08925,0.588276322,6.151744902,0.012239581,0.023606332,
BJP76_RS18645,0.58749321,6.42305987,0.200103596,0.269639124,
BJP76_RS17755,0.586701168,5.446910215,0.020193748,0.037023312,
BJP76_RS05570,0.584797533,6.825026245,0.001701627,0.004044789,
BJP76_RS09685,0.584224497,8.754465734,0.026657846,0.047373283,
BJP76_RS23290,0.58272288,8.562584443,0.006037115,0.012601117,
BJP76_RS23415,0.582701513,5.108220434,0.01396423,0.026640316,
BJP76_RS03295,0.582465506,9.441146085,0.00464082,0.009998668,
BJP76_RS15945,0.580657587,8.01482001,0.00045374,0.001235662,
BJP76_RS18285,0.580656409,6.245057514,0.001773487,0.00419464,
BJP76_RS14005,0.579958891,3.235670137,0.02770244,0.048904802,
BJP76_RS11025,0.578500659,6.080264607,0.001021425,0.002596627,
BJP76_RS07750,0.578045951,7.306399898,0.001103355,0.002775242,
BJP76_RS22525,0.576935828,9.715908093,0.109378496,0.16085515,
BJP76_RS06200,0.576349699,5.84195536,0.004640163,0.009998668,
BJP76_RS23940,0.574826194,5.793290656,0.076402769,0.11821895,
BJP76_RS21310,0.574801175,9.956671179,0.04246098,0.070867624,
BJP76_RS11185,0.574122824,6.498018613,0.000830298,0.002149035,
BJP76_RS19640,0.574082116,7.313703138,0.010795831,0.021132581,
BJP76_RS02215,0.573801488,6.484738825,0.002750978,0.006256237,
BJP76_RS13030,0.572983167,6.363024211,0.004063907,0.008889751,
BJP76_RS12775,0.572957636,8.137959616,0.006228196,0.012943158,
BJP76_RS00665,0.572498365,7.221138886,0.149240083,0.210232575,
BJP76_RS02380,0.572184696,7.65728027,0.003693178,0.00814554,
BJP76_RS21360,0.571947879,6.419642409,0.003209204,0.007181706,
BJP76_RS19390,0.571675295,2.645417075,0.054612911,0.088593358,
BJP76_RS17765,0.568923975,4.478606747,0.007960192,0.01609711,
BJP76_RS20555,0.567398415,8.64480712,0.03837118,0.064902023,
BJP76_RS00970,0.567363744,7.914910598,0.003670467,0.008099624,
BJP76_RS00905,0.566772475,6.362615604,0.020173244,0.037001567,
BJP76_RS21090,0.565620285,6.569471569,0.061261314,0.097858091,
BJP76_RS07380,0.565420255,5.6808,0.111101631,0.162997286,
BJP76_RS21300,0.564793262,7.133644765,0.003567385,0.007912941,
BJP76_RS23785,0.563522964,8.129410064,0.003852839,0.008458464,
BJP76_RS17210,0.562300823,5.48518937,0.005279251,0.011166243,
BJP76_RS04450,0.561753708,7.162624238,0.003520752,0.007817604,
BJP76_RS18710,0.561127668,8.024194459,0.009654732,0.019152876,
BJP76_RS10965,0.560502386,6.227201094,0.052605554,0.085726827,
BJP76_RS07450,0.560438208,3.184914138,0.140592004,0.199958263,
BJP76_RS23695,0.559773469,6.636615483,0.005529752,0.011615735,
BJP76_RS13845,0.557400248,4.312984668,0.040946121,0.068903438,
BJP76_RS03065,0.557358526,6.741954616,0.088160218,0.133503323,
BJP76_RS07285,0.55708909,3.885582249,0.126144701,0.182194826,
BJP76_RS13980,0.556580903,9.3140976,0.120500064,0.174868059,
BJP76_RS02810,0.554892093,3.956524816,0.064230831,0.101917044,
BJP76_RS14050,0.554753438,6.507404881,0.001717359,0.004075396,
BJP76_RS18350,0.554012939,6.706893071,0.128906381,0.185932688,
BJP76_RS18825,0.553925948,5.439281188,0.081995458,0.125634416,
BJP76_RS05285,0.553764651,5.661448809,0.004736271,0.010168493,
BJP76_RS14190,0.553688515,7.987630196,0.013853011,0.026456911,
BJP76_RS16585,0.551924436,1.226853449,0.130911154,0.188127106,
BJP76_RS11020,0.551730822,6.079864972,0.028717063,0.050512521,
BJP76_RS17170,0.549028183,2.526723275,0.151311647,0.212591126,
BJP76_RS07445,0.546895501,4.474796549,0.050056322,0.081884262,
BJP76_RS04255,0.54564843,6.677536625,0.028860684,0.050698642,
BJP76_RS18805,0.544667964,5.404784667,0.069469365,0.108937124,
BJP76_RS21480,0.544559981,5.562831278,0.002994472,0.00675057,
BJP76_RS18260,0.544543563,4.176304199,0.235339305,0.308005982,
BJP76_RS07725,0.54432785,8.902812516,0.010754209,0.021060737,
BJP76_RS22750,0.543786297,6.22997595,0.00080584,0.002094596,
BJP76_RS23050,0.543469959,7.153746609,0.003244706,0.007249784,
BJP76_RS19915,0.542825578,1.30740936,0.410585254,0.490050566,
BJP76_RS07460,0.542318517,4.319458883,0.03575378,0.061141136,
BJP76_RS12305,0.542290947,5.354432809,0.014856761,0.028192285,
BJP76_RS11160,0.541858847,5.372845301,0.07306782,0.113623846,
BJP76_RS22340,0.541257294,5.631885447,0.004582015,0.009891885,
BJP76_RS14770,0.54108393,7.753023993,0.013977157,0.0266531,
BJP76_RS11165,0.539226479,4.755249348,0.022727205,0.041052812,
BJP76_RS00965,0.539111032,7.751097853,0.004815638,0.010311172,
BJP76_RS06190,0.538739287,6.198150272,0.017149911,0.031990749,
BJP76_RS05535,0.538688318,9.811682065,0.0093543,0.018608624,
BJP76_RS11370,0.538468637,4.757592937,0.066653323,0.1054872,
BJP76_RS08995,0.538039911,5.414271503,0.062245426,0.099281918,
BJP76_RS12785,0.53759553,10.49365761,0.155351787,0.217307887,
BJP76_RS20045,0.536770949,7.443210514,0.085502496,0.130215648,
BJP76_RS23200,0.536535646,3.743591301,0.07002937,0.109574463,
