"","cntrl1_4h","cntrl2_4h","cntrl3_4h","treat1_4h","treat2_4h","treat3_4h","cntrl1_24h","cntrl2_24h","cntrl3_24h","treat1_24h","treat2_24h","treat3_24h"
"Tcas000083",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000077",378,458,397,352,394,366,504,383,383,421,418,517
"Tcas000082",1,12,12,4,29,1,0,5,5,5,3,3
"Tcas000080",1,3,3,0,2,1,2,1,2,0,0,0
"Tcas000084",54,84,109,73,96,80,54,53,64,66,86,100
"Tcas000085",49,56,57,50,56,39,50,43,51,36,53,47
"Tcas000086",5,9,11,25,2,5,14,23,3,18,12,32
"Tcas000087",202,235,308,173,289,246,187,226,215,151,191,194
"Tcas000088",657,450,635,1546,327,299,954,1644,828,642,1833,1087
"Tcas000089",320,226,331,204,132,195,607,290,164,107,84,50
"Tcas000090",12,16,12,11,17,17,4,12,14,1,25,25
"Tcas000091",56,76,48,54,82,63,69,49,64,76,65,109
"Tcas000095",17,32,28,20,23,17,11,16,22,9,24,22
"Tcas000094",6,6,5,4,10,4,7,3,3,2,5,2
"Tcas000096",1,4,3,0,2,3,1,2,0,0,1,0
"Tcas000092",8,8,8,3,4,6,10,5,7,3,6,4
"Tcas000093",0,0,1,0,0,0,0,0,1,1,0,1
"Tcas000097",333,485,668,356,543,418,192,240,398,200,375,341
"Tcas000098",169,245,266,213,244,176,159,199,217,163,196,205
"Tcas000099",1,6,5,2,1,1,5,3,1,3,2,3
"Tcas000100",48,76,134,133,113,185,73,130,77,81,156,81
"Tcas000110",373,465,551,371,493,462,303,353,355,324,417,381
"Tcas000101",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000109",7,11,10,9,15,17,3,6,9,3,4,7
"Tcas000104",372,492,495,344,577,450,359,363,495,317,345,384
"Tcas000102",158,240,247,177,203,240,213,221,210,170,173,182
"Tcas000107",243,342,308,284,305,247,294,311,319,243,307,290
"Tcas000111",296,399,417,257,338,396,330,316,350,264,288,303
"Tcas000108",1317,1607,2249,4295,44,1502,3326,3131,387,31,6,13
"Tcas000106",743,924,1019,823,845,757,952,873,925,675,817,766
"Tcas000114",677,925,744,732,612,642,1096,1071,1276,899,1089,1190
"Tcas000113",146,233,190,125,177,195,157,128,176,132,139,158
"Tcas000105",3,0,1,0,1,2,8,0,2,3,2,0
"Tcas000112",30,55,60,43,45,45,23,29,37,22,46,43
"Tcas000103",244,367,347,340,335,266,276,282,253,220,266,311
"Tcas000115",2,1,4,4,4,0,2,0,1,0,0,1
"Tcas000116",38,63,58,37,42,18,49,66,131,51,68,89
"Tcas000117",71,102,79,57,58,62,72,63,86,80,76,56
"Tcas000118",101,172,146,123,127,104,77,117,126,75,115,119
"Tcas000275",1,1,1,0,2,1,1,0,1,1,1,1
"Tcas000604",2,6,6,2,2,2,0,1,3,2,2,1
"Tcas001031",3,8,11,2,8,5,1,2,2,3,4,3
"Tcas001588",218,340,347,304,390,338,179,253,305,164,240,327
"Tcas001291",2,4,5,5,5,6,0,4,7,1,4,5
"Tcas000379",1133,1193,1397,1230,3409,2570,1796,983,1394,723,566,545
"Tcas000333",400,494,521,426,467,380,467,415,451,391,546,496
"Tcas000138",59,72,70,51,105,92,82,54,88,98,156,123
