"cntrl1_4h","cntrl2_4h","cntrl3_4h","treat1_4h","treat2_4h","treat3_4h","cntrl1_24h","cntrl2_24h","cntrl3_24h","treat1_24h","treat2_24h","treat3_24h"
"Tcas000006",142.3300352006,141.016643728587,144.047458689443,139.549340991227,117.545864728537,123.736362819377,136.641645403048,123.346706878321,111.946042007752,191.426157476193,142.50190349258,128.205169092094
"Tcas000008",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000022",8.46499517790565,8.31355074261968,7.83464231421589,7.4228372867674,5.55960171013349,7.2786095776104,9.95981302809943,10.3573570661185,8.26107840117449,13.5069551503883,13.3487184536845,9.72700909778323
"Tcas000034",9.25243658980385,8.78412908654155,10.3087398871262,8.35069194761333,7.54517374946687,9.35821231407052,8.73667809482406,7.90925448685416,8.93545214820914,11.1781697796317,10.5749587749968,7.49458078025921
"Tcas000015",6.2995312951856,11.6075991500728,11.2708889432579,7.97955008327496,9.39837431951137,7.57569568281899,8.3872109710311,11.2989349812202,9.60982589524379,9.08226294595075,8.667998995899,9.72700909778323
"Tcas000014",25.7887062396661,28.0778411873382,20.8923795045757,30.2480619435772,21.0470636169339,20.9445704172054,23.239563732232,26.3641816228472,23.9402680197302,37.2605659321057,28.6043966864667,31.5729147764111
"Tcas000007",3.34662600056735,3.607767303401,5.22309487614393,5.19598610073718,4.23588701724456,4.9019207359417,2.09680274275777,4.70788957550843,4.21483591896658,2.09590683368094,3.98727953811354,4.30539746951061
"Tcas000012",0.19686035297455,0.470578343921869,0.274899730323365,0,0.264742938577785,0.148543052604294,0.698934247585925,0.376631166040674,0.168593436758663,0.465757074151321,0.17335997991798,0.47837749661229
"Tcas000009",4.92150882436375,6.43123736693221,9.3465908309944,5.010415168568,5.16248730226681,6.38735126198464,4.19360548551555,6.02609865665079,6.4065505968292,7.21923464934547,18.8962378110598,16.2648348848179
"Tcas000031",218.9087125077,263.837591492195,228.441675898716,242.726779277294,194.321316916094,161.763384286076,194.478454390784,251.40130333215,221.363182464125,200.275541885068,215.313095058131,220.213107607191
"Tcas000018",0.3937207059491,0.470578343921869,0.549799460646729,0.185570932169185,0.397114407866678,0.445629157812882,0.524200685689444,0.564946749061011,0.505780310275989,0.465757074151321,0.34671995983596,0.95675499322458
"Tcas000003",62.2078715399578,63.0574980855304,58.2787428285533,63.8364006661996,49.242186575468,50.9502670432728,53.6432035022197,66.8520319722197,63.05394534774,56.3566059723098,64.4899125294885,67.4512270223329
"Tcas000011",20.0797560034041,20.7054471325622,21.9919784258692,20.041660674272,12.310546643867,19.7562259963711,20.4438267418883,18.8315583020337,17.8709042964183,17.9316473548258,15.6023981926182,18.3378040368044
"Tcas000019",50.1993900085103,56.4694012706243,51.4062495704692,51.5887191430334,32.1662670372009,26.7377494687729,66.5734870825593,66.0987696401383,57.3217684979454,78.4800669944975,72.4644716057156,66.6539311946457
"Tcas000029",4.13406741246555,4.07834564732286,5.36054474130561,4.63927330422963,8.47177403448912,8.02132484063187,2.62100342844722,2.44810257926438,4.88920966600123,4.42469220443755,8.667998995899,6.05944829042234
"Tcas000021",14.5676661201167,4.23520509529682,29.6891708749234,7.60840821893659,42.4912416417345,31.0454979942974,0.174733561896481,6.96767657175247,21.2427730315915,0,4.68071945778546,2.71080581413631
"Tcas000026",0,0.313718895947913,0,0.37114186433837,0,0.297086105208588,0,0.376631166040674,0.168593436758663,0,0,0
"Tcas000002",1.5748828237964,2.82347006353121,5.63544447162897,2.41242211819941,3.83877260937788,4.15920547292023,0,1.5065246641627,1.85452780434529,0,2.08031975901576,1.43513248983687
"Tcas000025",0,0,0,0,0,0,0,0,0,0,0.17335997991798,0
"Tcas000013",137.99910743516,18.9799932048487,250.983453785232,92.7854660845925,340.856533418898,284.01431657941,3.49467123792962,66.8520319722197,173.98842673494,0.465757074151321,87.0267099188259,42.2566788674189
