"genotype1_cntrl_rep1","genotype1_cntrl_rep2","genotype1_cntrl_rep3","genotype1_treat_rep1","genotype1_treat_rep2","genotype1_treat_rep3","genotype2_cntrl_rep1","genotype2_cntrl_rep2","genotype2_cntrl_rep3","genotype2_treat_rep1","genotype2_treat_rep2","genotype2_treat_rep3","genotype3_cntrl_rep1","genotype3_cntrl_rep2","genotype3_cntrl_rep3","genotype3_treat_rep1","genotype3_treat_rep2","genotype3_treat_rep3","genotype4_cntrl_rep1","genotype4_cntrl_rep2","genotype4_cntrl_rep3","genotype4_treat_rep1","genotype4_treat_rep2","genotype4_treat_rep3","genotype5_cntrl_rep1","genotype5_cntrl_rep2","genotype5_cntrl_rep3","genotype5_treat_rep1","genotype5_treat_rep2","genotype5_treat_rep3","genotype6_cntrl_rep1","genotype6_cntrl_rep2","genotype6_cntrl_rep3","genotype6_treat_rep1","genotype6_treat_rep2","genotype6_treat_rep3"
"gene-LOC124188276",12.0463495344688,6.77571425909541,12.245134228935,6.33338517326383,7.25620423602691,8.0505331968768,5.3671226931915,12.391554536006,4.71963778353224,7.17128617017462,3.39553193271414,2.00557952223085,16.3952291811933,12.0941895482014,4.74693415866695,4.25666558358176,7.04010363032544,11.4522976808461,8.92899661888661,5.90144585423429,8.91479682930393,9.10366341531014,8.43467240786702,13.5933040814969,5.13212074625598,6.93713636398322,8.62971117507325,9.45808105720975,9.58580533945334,8.69264376328888,12.3255928610166,24.5892905443249,28.7447548806997,19.4683391267866,19.2833146508756,28.8349911363745
"gene-LOC124188277",125.282035158476,107.282142435677,106.866625997978,143.55673059398,145.849705144141,128.808531150029,124.977285570031,123.91554536006,108.551669021242,131.690891488661,141.480497196422,137.382197272813,118.624305252163,108.847705933813,119.351487417912,154.658849536804,146.562157394957,125.975274489307,125.998063399844,99.144290351136,96.5769656507925,144.647096487706,111.759409404238,130.924981416522,120.889955356252,131.111877279283,108.734360805923,132.413134800936,150.177616984769,132.70769478621,150.751481915511,122.946452721625,143.085002072816,152.826462145275,146.720872343619,154.204517816263
"gene-LOC124188278",245.745530503164,347.819998633564,286.090863348755,328.632319546023,309.839920878349,258.623378949667,235.386666687113,229.243758916111,191.931936530311,268.597263828359,282.960994392845,320.892723556935,252.679414439568,248.334025389735,225.140305811061,297.966590850723,259.843824901103,286.943680781199,190.485261202914,179.403953968722,191.172865339518,196.234522507796,226.681820961426,221.070050588554,301.654652752157,256.674045467379,241.631912902051,237.907115823661,349.083077778426,289.17528252541,218.068181387217,223.125043828134,309.165808050192,269.636496905994,274.158430036362,246.977967559381
"gene-LOC124188279",42.7645408473643,48.5592855235171,46.7541488741156,53.4819192408945,55.1471521938045,43.2716159332128,44.4704451721581,26.3320533890127,48.7695904298331,46.9393276593248,53.1966669458549,28.0781133112318,25.0750563947663,40.3139651606713,31.8722722081924,52.4988755308417,40.9606029400753,56.6252496441835,24.8027683857961,42.4904101504869,39.1260527508339,36.4146536612405,51.6623684981855,48.6497198706204,26.2308393697528,25.6674045467379,28.7657039169108,36.3772348354221,31.9526844648445,30.7140079636207,21.8068181387217,27.3214339381388,24.9121208966064,24.3354239084832,18.4449096660549,28.8349911363745
"gene-LOC124188280",3.01158738361721,1.69392856477385,1.11319402081228,0.703709463695981,3.62810211801345,1.0063166496096,3.06692725325228,1.54894431700075,0,1.95580531913853,2.26368795514276,0,1.9288504919051,5.64395512249398,0,5.67555411144234,1.92002826281603,3.81743256028203,3.96844294172738,2.36057834169371,0.495266490516885,4.04607262902673,3.16300215295013,3.57718528460444,15.9665978772408,13.1805590915681,13.232223801779,13.8233492374604,13.5798908975589,13.3287204370429,1.89624505554102,5.46428678762776,6.38772330682215,9.73416956339329,8.38404984820678,2.50739053359778
"gene-LOC124188281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC124188282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85117819236443,2.77485454559329,0.575314078338217,1.45508939341688,1.59763422324222,1.15901916843852,0,0,0,0,0,0
"gene-LOC124188283",377.050740428874,388.474284188137,445.27760832491,416.596002508021,431.744152043601,422.652992836032,453.138501668025,566.913620022274,473.536990947735,483.083913827218,308.993405876987,396.101955640592,333.691135099582,474.898509592708,301.091252349732,320.668807296492,374.405511249126,428.188685511635,352.199311078305,478.017114192977,405.127989242812,402.584226588159,555.63404486824,482.204576364678,124.881604825562,231.70035455704,221.495920160213,260.461001421622,192.514923900688,224.270209092853,385.885868802597,357.000070125014,426.061144565038,365.031358627248,443.516236970138,392.406618508052
"gene-LOC124188284",228.278323678184,255.218570425927,229.317968287329,235.038960874458,220.588608775218,224.408612862941,236.920130313739,207.5585384781,180.919448368736,234.044703190244,215.050355738562,240.669542667702,189.991773452652,222.533087686906,183.774165285535,222.765498874112,208.00306180507,237.317057497533,188.501039732051,207.730894069047,202.068728130889,178.027195677176,196.106133482908,216.777428247029,122.600662271671,144.986150007249,116.788757902658,153.511931005481,134.201274752347,136.184752291526,171.610177526462,180.321463991716,258.064021595615,197.603642136884,221.338915992659,203.09863322142
"gene-LOC124188285",475.830806611519,525.117855079894,517.635219677708,598.153044141584,569.612032528112,560.518373832547,470.773333374226,503.406903025243,473.536990947735,507.20551276326,488.956598310836,472.313977485364,381.912397397209,473.285950986281,402.133136584215,428.504335413897,407.045991716998,461.909339794126,480.181595949013,506.344054293302,493.285424554817,489.574788112234,512.406348777921,500.805939844621,208.706243681076,288.584872741702,280.177956150712,277.922074142625,235.651047928228,224.849718677072,286.333003386694,320.571491540829,389.012349385469,352.376938194837,319.432299216678,354.795760504086
"gene-LOC124188286",7.22780972068129,4.51714283939694,8.9055521664982,2.81483785478392,2.90248169441076,3.0189499488288,5.3671226931915,6.19577726800299,4.71963778353224,2.60774042551804,4.52737591028552,4.01115904446169,1.9288504919051,4.03139651606713,2.03440035371441,1.41888852786059,3.84005652563206,2.54495504018802,3.96844294172738,2.36057834169371,2.97159894310131,4.04607262902673,0,2.86174822768355,0,0.693713636398322,0,0.727544696708442,0.798817111621111,1.15901916843852,0.948122527770509,2.73214339381388,1.27754466136443,0.973416956339329,1.67680996964136,3.76108580039667
"gene-LOC124188287",1.20463495344688,2.82321427462309,3.33958206243683,0.703709463695981,2.90248169441076,3.0189499488288,5.3671226931915,4.64683295100224,6.29285037804299,5.21548085103609,5.6592198878569,5.01394880557712,4.82212622976274,4.03139651606713,9.49386831733391,4.25666558358176,9.60014131408014,1.90871628014102,5.95266441259108,4.72115668338743,4.95266490516885,16.1842905161069,3.16300215295013,4.29262234152533,12.5451840464035,23.5862636375429,35.0941587786312,18.9161621144195,15.9763422324222,30.1344983794014,27.4955533053448,29.1428628673481,11.4979019522799,26.2822578211619,20.1217196356963,15.0443432015867
"gene-LOC124188288",116.849590484348,90.3428567879388,101.300655893917,112.593514191357,97.2331367627606,137.865380996515,78.9733767712463,86.7408817520419,81.8070549145588,80.8399531910594,90.5475182057104,78.217601367003,86.7982721357293,78.2090924117023,73.2384127337187,107.835528117405,74.8811022498251,54.0802946039954,77.384637363684,94.4231336677486,63.8893772766781,77.8868981087645,82.2380559767034,78.6980762612976,61.5854489550717,65.9027954578406,56.3807796771452,72.0269249741358,70.2959058226578,55.6329200850488,103.345355526985,101.089305571114,100.92602824779,115.83661780438,84.6789034668884,107.817792944705
"gene-LOC124188289",4.21622233706409,3.3878571295477,5.56597010406138,7.03709463695981,4.35372254161615,7.0442165472672,3.83365906656536,3.0978886340015,4.71963778353224,1.95580531913853,5.6592198878569,3.00836928334627,3.85770098381019,4.03139651606713,4.74693415866695,11.3511082228847,3.84005652563206,7.63486512056406,7.93688588345477,2.36057834169371,6.4384643767195,5.05759078628341,5.27167025491689,5.7234964553671,3.42141383083732,4.16228181838993,4.02719854836752,4.36526818025065,3.99408555810556,3.47705750531555,2.84436758331153,4.55357232302314,6.38772330682215,5.84050173803598,2.51521495446203,5.01478106719556
"gene-LOC124188290",186.116100307543,151.888927974722,182.563819413213,175.927365923995,150.203427685757,237.490729307865,165.614071675623,164.188097602079,177.773023179714,161.027971275739,215.050355738562,158.440782256237,152.379188860503,174.962608797313,169.533362809534,167.428846287549,131.841940713367,135.518855890012,173.619378700573,182.944821481263,161.456875908504,187.130859092486,166.584780055374,166.696834262567,235.507318689302,235.168922739031,238.180028432022,217.535864315824,224.467608365532,203.987373645179,299.606718775481,284.142912956644,225.486632730822,308.573175159567,238.107015689072,295.872082964538
"gene-LOC124188291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579509584219259,0,0,0,0.973416956339329,0,0
"gene-LOC124188292",207.799529469587,189.719999254671,165.865909101029,182.964460560955,194.466273525521,214.345446366845,215.451639540973,224.596925965108,191.931936530311,189.061180850058,212.786667783419,173.482628672968,161.059016074076,179.800284616594,195.302433956583,207.157725067645,179.202637862829,186.417956693773,206.359032969824,187.66597816465,202.563994621406,222.53399459647,196.106133482908,192.452568311719,120.319719717779,118.625031824113,119.090014216011,129.502956014103,108.639127180471,107.788782664782,213.327568748364,188.517894173158,209.517324463767,226.806150827064,161.812162070391,205.606023755018
"gene-LOC124188293",603.522111676888,674.183568779993,652.331696195993,664.301733729006,618.954221333095,643.036339100534,628.720086916718,659.850279042319,649.736801532938,676.708640421932,685.897450408256,689.919355647411,549.722390192953,631.316694416113,554.713163112795,683.904270428802,495.367291806535,671.231891849591,642.887756559836,554.735910298023,643.351171181433,649.39465695879,686.371467190179,623.145676578093,499.526419302248,465.481850023274,425.157103891942,465.628605893403,452.130485177549,416.087881469428,553.703556217977,619.285835931146,664.323223909504,638.5615233586,579.337844511088,586.72938486188
"gene-LOC124188294",27.1042864525549,20.8917856322108,18.9242983538087,26.0372501567513,22.4942331316834,27.1705495394592,21.468490772766,12.391554536006,23.5981889176612,16.2983776594878,24.9005675065704,17.0474259389622,11.5731029514306,11.287910244988,15.5970693784771,22.7022164457694,17.9202637862829,19.7234015614572,62.5029763322063,51.9327235172617,47.5455830896209,51.5874260200908,60.0970409060525,50.0805939844621,22.8094255389154,24.2799772739413,24.7385053685433,48.7454946794656,23.1656962370122,28.9754792109629,64.4723318883946,55.5535823408823,72.8200456977725,70.0860208564317,58.6883489374474,78.9828018083301
"gene-LOC124188295",3.01158738361721,8.46964282386926,4.4527760832491,4.92596624587186,4.35372254161615,3.0189499488288,9.20078175975685,3.0978886340015,3.14642518902149,14.3425723403492,11.3184397757138,14.0390566556159,4.82212622976274,3.2251172128537,5.42506760990509,5.67555411144234,7.68011305126411,2.54495504018802,0.992110735431846,1.18028917084686,1.98106596206754,6.06910894354009,1.05433405098338,4.29262234152533,17.1070691541866,19.423981819153,16.1087941934701,19.6437068111279,19.9704277905278,13.9082300212622,33.1842884719678,66.4821559161378,52.3793311159417,75.9265225944677,67.9108037704749,56.41628700595
"gene-LOC124188296",176.479020679968,204.965356337636,169.205491163466,183.668170024651,198.819996067137,206.294913169968,162.547144422371,164.188097602079,129.003432749881,153.204749999185,179.963192433849,200.557952223085,155.27246459836,147.549112488057,159.361361040962,151.821072481083,154.242270446221,174.329420252879,109.132180897503,82.62024195928,111.930226856816,95.0827067821281,94.890064588504,113.0390549935,168.789748987974,158.166709098817,154.75948707298,160.787377972566,172.54449611016,132.128185201991,191.520750609643,226.767901686552,236.984534683102,222.912483001706,215.470081098914,174.263642085046
"gene-LOC124188297",5188.36274449572,4756.55140988498,5451.31111991771,4593.81537900736,4998.79909819894,5056.74116428824,5810.29368128645,5642.80414683373,6159.12730750957,5643.80221592743,5381.91811335191,5103.19709431639,5605.23952947621,5295.64246350578,5680.72392102187,4777.39767330659,4960.07301227474,4844.95815775795,6729.48711843421,6693.41988787253,6784.16038710029,6267.3665023624,5775.64193128694,5618.32720799973,5083.08048134731,4969.07077752118,5653.61144782966,4801.79499827572,4289.64788940537,4834.26895155705,8124.46194046549,8001.53728601625,7025.85686517369,7991.75321154589,7248.01109377476,7739.06088194955
"gene-LOC124188298",209.606481899758,173.345356461858,250.468654682762,140.741892739196,170.520799546632,174.092780382461,268.356134659575,274.163144109132,305.203243335085,242.519859573178,199.204540052563,203.566321506431,214.102404601466,247.527746086522,202.083768468965,197.225505372621,179.842647283768,173.693181492832,282.751559598076,273.827087636471,284.282965556692,216.46488565293,196.106133482908,199.606938880928,97.5102941788635,163.716418190004,141.527263271201,98.2185340556397,107.041492957229,92.1420238908621,195.313240720725,220.39290043432,158.415538009189,160.613797795989,162.650567055211,164.234079950655
"gene-LOC124188299",424.031503613303,452.278926794619,407.429011617293,481.337273168051,473.830136612557,432.716159332128,425.536156388754,365.550858812177,333.521070036278,467.437471274109,419.914115678982,457.272131068633,438.813486908409,399.914534393859,394.673668620595,533.50208647558,489.607207018087,524.896977038779,381.962633141261,354.086751254057,406.118522223846,388.422972386566,397.483937220733,432.123982380216,62.7259202320175,64.515368185044,60.4079782255128,64.7514780070514,77.4852598272478,58.5304680061451,128.944663776789,149.357172195159,198.019422511487,158.666963883311,129.114367662384,178.024727885442
"gene-LOC124188300",74.6873671137067,82.4378568189941,156.960356934531,125.260284537885,159.636493192592,102.644298260179,83.5737676511248,175.030707821085,193.505149124822,82.1438234038184,247.873831088132,301.839718095742,187.098497714794,158.837022733045,160.0394944922,90.8088657830775,66.5609797776223,114.522976808461,132.942838547867,221.894364119209,84.6905698783873,179.038713834433,143.389430933739,129.494107302681,206.425301127185,208.114090919497,269.822302740624,242.99992870062,232.455779481743,223.111189924415,118.515315971314,228.589330615761,128.393238467125,218.04539822001,137.498417510591,121.608440879492
"gene-LOC124188301",21.0811116853204,27.1028570363816,22.2638804162455,34.4817637211031,44.2628458397641,19.1200163425824,3.83365906656536,7.74472158500374,17.3053385396182,28.033209574319,49.8011350131407,21.0585849834239,51.1145380354851,22.5758204899759,46.7912081354314,43.9855443636782,89.6013189314147,32.4481767623973,59.5266441259108,46.0312776630274,74.7852400680496,49.5643897055774,48.4993663452354,61.5275868951963,66.7175697013277,56.8845181846624,64.4351767738803,122.955053743727,113.432029850198,79.3928130380384,36.9767785830498,30.9642917965573,52.3793311159417,116.81003476072,78.8100685731437,110.325183478302
"gene-LOC124188302",93.3592088921334,93.7307139174865,87.9423276441698,80.9265883250378,88.5256916795283,88.5558651656447,90.4743539709424,97.5834919710471,122.710582371838,84.7515638293364,82.6246103627107,75.2092320836567,143.69936164693,110.460264540239,143.086158211247,109.254416645265,113.281667506146,98.6170078072858,140.879724431322,106.226025376217,98.0627651223432,104.186370197438,89.6183943335871,97.2994397412407,82.1139319400956,80.4707818222054,68.4623753222478,60.3862098268007,58.3136491483411,86.9264376328888,84.3829049715753,92.892875389672,76.6526796818658,76.899939550807,92.2245483302745,82.7438876087267
"gene-LOC124188303",3.01158738361721,3.3878571295477,4.4527760832491,2.81483785478392,2.17686127080807,5.031583248048,5.3671226931915,4.64683295100224,3.14642518902149,8.47515638293364,3.39553193271414,6.01673856669254,1.9288504919051,4.03139651606713,5.42506760990509,4.25666558358176,5.12007536750941,1.90871628014102,14.8816610314777,2.36057834169371,5.94319788620262,6.06910894354009,2.10866810196675,4.29262234152533,8.55353457709329,10.4057045459748,12.6569097234408,8.73053636050131,10.3846224510744,13.3287204370429,9.48122527770509,10.0178591106509,3.83263398409329,5.84050173803598,5.86883489374474,5.01478106719556
