gene,genotype1_cntrl_rep1,genotype1_cntrl_rep2,genotype1_cntrl_rep3,genotype1_treat_rep1,genotype1_treat_rep2,genotype1_treat_rep3,genotype2_cntrl_rep1,genotype2_cntrl_rep2,genotype2_cntrl_rep3,genotype2_treat_rep1,genotype2_treat_rep2,genotype2_treat_rep3,genotype3_cntrl_rep1,genotype3_cntrl_rep2,genotype3_cntrl_rep3,genotype3_treat_rep1,genotype3_treat_rep2,genotype3_treat_rep3,genotype4_cntrl_rep1,genotype4_cntrl_rep2,genotype4_cntrl_rep3,genotype4_treat_rep1,genotype4_treat_rep2,genotype4_treat_rep3,genotype6_cntrl_rep1,genotype6_cntrl_rep2,genotype6_cntrl_rep3,genotype6_treat_rep1,genotype6_treat_rep2,genotype6_treat_rep3
MEturquoise,-0.093699953701875,-0.0945862525437489,-0.0936632646586893,-0.0727018362531482,-0.0797422131537664,-0.0872998517241987,-0.0983392741389502,-0.10592118381501,-0.0962533948232183,-0.0996501580723823,-0.0777429251838647,-0.0761866354968272,-0.103106848891015,-0.104552211814326,-0.090899933732357,-0.0875960413155402,-0.0839743377094262,-0.0803671098442435,-0.0993113453073609,-0.101816826058652,-0.103569180614575,-0.0826882576822458,-0.0888846584624299,-0.0839091214695261,0.352528027911434,0.350225621804786,0.345429077634409,0.380374372401503,0.39324534763811,0.364660369077134
MEblue,0.129693060415658,0.345605845324931,0.169203142930955,0.416355607299,0.29897732520429,0.0453692141821795,-0.0158397339826108,-0.0520833324468111,-0.199172236652131,0.02817908427748,0.00675240581500166,0.136103713925699,-0.0151789106868906,0.0584161021195978,-0.16858340044301,0.122785100211202,0.0593441385986354,0.304990738508102,-0.173446614628382,-0.163025610080298,-0.119950042477988,-0.132808261623268,0.0392033331243767,-0.0587524545624786,-0.310126876394893,-0.286001784973172,0.0490074290536476,-0.155756924641635,-0.149764499560711,-0.209495557836479
MEbrown,-0.00524437439632144,0.0169009671891178,0.0195296661925363,0.338083939077501,0.246057421597285,0.256277744877951,-0.0435697400973731,-0.0711700363410504,-0.134004325854062,0.120896367329029,0.164840845373825,0.0716115466011581,-0.17196733041041,-0.114322230666129,-0.163313643491416,0.139376220419203,-0.0141644433718089,0.174287037395658,-0.0701860379600135,-0.110554636640204,-0.00116076024131857,0.246946484041208,0.307021302364349,0.191877219790371,-0.334553748539591,-0.308572433758716,-0.161895682942461,-0.148385658779847,-0.274925565341041,-0.165716113417429
MEgrey,0.000311257380850214,-0.000403167410331184,-0.000671211992087258,0.000396685779287567,2.37358060485247e-05,-0.000773024017389255,-0.000659463914124085,-0.000764832702046107,-0.000383018227279336,-8.39740285802167e-05,-0.000160970192477096,-0.000649109774258121,0.000184686640285433,-0.00101491485503687,0.000659043288340419,7.61961040209282e-05,0.000351995481364577,0.000191493525052225,-0.00057307400662207,-0.00171519519917897,-0.00297815486342016,-0.00118240065804746,-0.00136502288680534,-0.000984281494907077,0.000526091758553888,-0.000588831133241345,0.000223560333537342,0.0110355162998801,0.000496299032359385,0.00047408592625138
