gene,genotype1_cntrl_rep1,genotype1_cntrl_rep2,genotype1_cntrl_rep3,genotype1_treat_rep1,genotype1_treat_rep2,genotype1_treat_rep3,genotype2_cntrl_rep1,genotype2_cntrl_rep2,genotype2_cntrl_rep3,genotype2_treat_rep1,genotype2_treat_rep2,genotype2_treat_rep3,genotype3_cntrl_rep1,genotype3_cntrl_rep2,genotype3_cntrl_rep3,genotype3_treat_rep1,genotype3_treat_rep2,genotype3_treat_rep3,genotype4_cntrl_rep1,genotype4_cntrl_rep2,genotype4_cntrl_rep3,genotype4_treat_rep1,genotype4_treat_rep2,genotype4_treat_rep3,genotype6_cntrl_rep1,genotype6_cntrl_rep2,genotype6_cntrl_rep3,genotype6_treat_rep1,genotype6_treat_rep2,genotype6_treat_rep3
MEblue,0.121443692005196,0.348663416078348,0.183072912080285,0.414133025565059,0.299099780103194,0.0480657811060798,-0.0161652667581119,-0.0291132927279758,-0.202319376101888,0.0235224989710588,0.0123375532927978,0.163795881120817,-0.00150761832076541,0.0697734980419876,-0.159603422327222,0.119484005361855,0.0536365033502316,0.277332447709973,-0.168997196873408,-0.153250845851938,-0.127318642207887,-0.132579759612549,0.0355190711842614,-0.0740778153753625,-0.315919006711797,-0.273326984781875,0.0381443964042662,-0.170029294718782,-0.162007153404212,-0.221808786601638
MEturquoise,-0.0847901657631419,-0.0772636765121422,-0.0870709911021743,-0.0913118562594622,-0.0977763946029963,-0.103216188786297,-0.0838411969518387,-0.090947427675423,-0.0799325402078001,-0.102675853919624,-0.0860599424789003,-0.0764063046735663,-0.075134729699613,-0.087649974134406,-0.0709231549551224,-0.0945994047157946,-0.0759764174067386,-0.0929100757205439,-0.0881514665637266,-0.0902835432010888,-0.106736460529599,-0.106915479749447,-0.125315497145259,-0.107243735754306,0.366517404745424,0.364574721578462,0.325680089632785,0.380491134525022,0.398606220616883,0.347262907410434
MEgrey,0.00132104225733596,0.000372083510716569,0.000437070569826045,0.000950618395058537,0.000540224850544306,-0.000332014393355542,0.000711740929686066,0.000909894024392191,0.00132726514013443,0.000382861537431685,6.88393457745222e-05,7.42325883566065e-06,0.00111519540158842,0.000234146301494056,0.00215269577468704,0.000226901210585679,0.00131113347840653,0.00170184346849832,-0.00160859983768292,-0.002340657234849,-0.00229286888793806,-0.00336315617260768,-0.00297734444695073,-0.00253602810434192,7.58908136723081e-05,3.72535319747621e-05,0.000503015612060293,5.57026982680531e-05,0.000554372195596182,0.000453454771158234
