gene,cntrl1_4h,cntrl2_4h,cntrl3_4h,treat1_4h,cntrl1_24h,cntrl2_24h,cntrl3_24h,treat1_24h,treat2_24h,treat3_24h
MEblue,-0.0542861429802964,0.619337056809709,0.31261834335323,0.179955479517189,-0.618480743395588,0.0695123777757741,-0.00825848641343091,-0.257641620664275,-0.12835350889759,-0.11440275510472
MEbrown,-0.171079065809254,-0.12364365255402,-0.308025274330018,-0.389716916761734,-0.0949297594039279,-0.0276669542632374,-0.136255662621644,0.7280154745954,0.343546285136926,0.179755526011511
MEturquoise,0.200753771025349,0.0133454016568426,-0.37394680119478,0.0605336877375053,0.645791717195801,0.193392345103849,-0.149154639230982,0.185561549846061,-0.34577972385276,-0.430497308286885
MEgrey,0.11110298230523,-0.0520949818414981,0.0301951128717313,-0.0521885494419583,-0.0612044856206228,0.184794921087918,-0.0375278881146696,-0.044363505522578,-0.0451411775592616,-0.033572428164291
