"genotype1_cntrl_rep1","genotype1_cntrl_rep2","genotype1_cntrl_rep3","genotype1_treat_rep1","genotype1_treat_rep2","genotype1_treat_rep3","genotype2_cntrl_rep1","genotype2_cntrl_rep2","genotype2_cntrl_rep3","genotype2_treat_rep1","genotype2_treat_rep2","genotype2_treat_rep3","genotype3_cntrl_rep1","genotype3_cntrl_rep2","genotype3_cntrl_rep3","genotype3_treat_rep1","genotype3_treat_rep2","genotype3_treat_rep3","genotype4_cntrl_rep1","genotype4_cntrl_rep2","genotype4_cntrl_rep3","genotype4_treat_rep1","genotype4_treat_rep2","genotype4_treat_rep3","genotype5_cntrl_rep1","genotype5_cntrl_rep2","genotype5_cntrl_rep3","genotype5_treat_rep1","genotype5_treat_rep2","genotype5_treat_rep3","genotype6_cntrl_rep1","genotype6_cntrl_rep2","genotype6_cntrl_rep3","genotype6_treat_rep1","genotype6_treat_rep2","genotype6_treat_rep3"
"gene-LOC124188284",355.094671612383,402.944346432293,359.328230639883,373.068477054055,350.198138420422,348.738286772341,365.750593604928,318.852511677378,278.825731493245,363.03623688165,329.498434015337,368.892523163376,292.570057162546,340.284087896859,283.03315456639,342.280591600391,322.747544884253,381.37655464625,287.04071597019,314.533971456042,313.902656324292,271.036097080202,305.240787389945,335.669355714245,175.153462946896,207.525943225271,166.977727803272,222.497561489996,190.906487638805,196.767157468151,259.69628447791,273.73019603506,402.779979442269,306.184473883068,342.635986901961,314.112370792203
"gene-LOC124188285",740.170951382012,829.066907482373,811.104986638572,949.425764957924,904.294535065892,871.063792521049,726.766551693934,773.336315635433,729.796045038842,786.74705374352,749.17538681382,723.951576708126,588.110368712528,723.720143461799,619.330851136049,658.399609320497,631.592118604261,742.303964271254,731.1984554188,766.676555424103,766.291778674008,745.349266970556,797.564638018889,775.473759075812,298.168220644483,413.065992256999,400.5820366512,402.815490470039,335.222701508616,324.875136585713,433.305402830546,486.631459617884,607.160909604807,546.003840126456,494.486026551693,548.727166260453
"gene-LOC124188286",11.2431030589673,7.1317583439344,13.9544943937819,4.46788595274317,4.60787024237397,4.69154645882073,8.28561215286244,9.51798542320532,7.2737147346064,4.04497199868134,6.936809137165,6.14820871938961,2.97025438743701,6.16456680972571,3.13320835313347,2.18013115669039,5.95841621324774,4.08982900424933,6.04296244147769,3.57424967563684,4.61621553418077,6.15991129727732,0,4.43127862329036,0,0.992947096771631,0,1.05449081274879,1.13634814070717,1.67461410611192,1.4347861020879,4.14742721265242,1.99396029426866,1.50829790090181,2.5957271734997,5.81689575541117
"gene-LOC124188287",1.87385050982788,4.457348964959,5.2329353976682,1.11697148818579,4.60787024237397,4.69154645882073,8.28561215286244,7.13848906740399,9.69828631280853,8.08994399736268,8.67101142145624,7.68526089923701,7.42563596859253,6.16456680972571,14.6216389812895,6.54039347007116,14.8960405331194,3.067371753187,9.06444366221653,7.14849935127368,7.69369255696795,24.6396451891093,4.92323850628944,6.64691793493554,17.9226799294498,33.7602012902355,50.1755733793084,27.4167611314686,22.7269628141434,43.53996675891,41.6087969605491,44.2392236016258,17.9456426484179,40.7240433243489,31.1487260819964,23.2675830216447
"gene-LOC124188288",181.763499453304,142.635166878688,158.732373729269,178.715438109727,154.363653119528,214.247288286147,121.916864534976,133.251795924875,126.077722066511,125.394131959122,138.7361827433,119.890070028097,133.661447434666,119.592596108679,112.795500712805,165.689967908469,116.189116158331,86.9088663402983,117.837767608815,142.969987025474,99.2486339848865,118.578292472588,128.004201163525,121.860162140485,87.9840651082082,94.3299741933049,80.6099375602004,104.394590462131,99.9986363822312,80.3814770933723,156.391685127581,153.454806868139,157.522863247224,179.487450207316,131.084222261735,166.75101165512
"gene-LOC124188289",6.55847678439757,5.3488187579508,8.72155899611367,11.1697148818579,6.91180536356096,10.9469417372484,5.91829439490174,4.75899271160266,7.2737147346064,3.033728999011,8.67101142145624,4.6111565395422,5.94050877487402,6.16456680972571,7.31081949064476,17.4410492535231,5.95841621324774,12.269487012748,12.0859248829554,3.57424967563684,10.0018003240583,7.69988912159665,8.2053975104824,8.86255724658071,4.88800361712268,5.95768258062979,5.75785268287146,6.32694487649276,5.68174070353586,5.02384231833577,4.3043583062637,6.91237868775403,9.9698014713433,9.04978740541087,3.89359076024955,7.75586100721489
"gene-LOC124188290",289.509903768407,239.805374314794,286.067135072528,279.242872046448,238.457285042853,369.068321427231,255.670317859755,252.226613714941,273.976588336841,249.777020918573,329.498434015337,242.854244415889,234.650096607524,267.542199542096,261.100696094456,257.255476489466,204.572289988173,217.783394476277,264.379606814649,277.004349861855,250.814377357155,284.895897499076,259.290561331244,258.121979806663,336.457582311944,336.609065805583,340.535858672683,315.292753011889,319.313827538715,294.732082675698,453.392408259777,431.332430115851,351.933991938419,478.130434585874,368.593258636958,457.595799425678
"gene-LOC124188291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837307053055961,0,0,0,1.50829790090181,0,0
"gene-LOC124188292",323.239212945309,299.533850445245,259.902458084187,290.412586928306,308.727306239056,333.099798576272,332.608144993478,345.026971591193,295.79773254066,293.260469904397,326.030029446755,265.9100271136,248.01624135099,274.939679713767,300.788001900813,318.299148876796,278.059423284895,299.579974561264,314.23404695684,284.152849213129,314.672025579989,338.795121350253,305.240787389945,298.003487416277,171.894793868814,169.793953547949,170.267929336342,187.699364669285,154.543347136175,155.739111868409,322.826872969778,286.172477673017,327.00948826006,351.433410910122,250.487672242721,317.99030129581
"gene-LOC124188293",938.799105423767,1064.41493283221,1022.16671434452,1054.42108484739,982.62832918625,999.299395728816,970.600280763886,1013.66544757137,1001.34806179748,1049.67023365781,1050.9265842805,1057.49189973501,846.522500419548,965.371162403047,854.321477621059,1050.82321752477,768.635691508959,1078.69239987076,978.959915519385,839.948673774658,999.410663150136,988.66576321301,1068.34275586481,964.910920221475,713.648528099911,666.267501933764,607.864733234572,674.874120159228,643.173047640259,601.18646409418,837.915083619334,940.083501534548,1036.8593530197,989.443422991588,896.823738444147,907.435737844142
"gene-LOC124188294",42.1616364711272,32.9843823406966,29.6533005867865,41.3279450628743,35.7109943783983,42.2239181293866,33.1424486114498,19.0359708464106,36.368573673032,25.2810749917584,38.1524502544075,26.1298870574058,17.8215263246221,17.260787067232,24.0212640406899,34.8820985070462,27.8059423284895,31.6961747829323,95.1766584532735,78.6334928640105,73.8594485468923,78.5388690402858,93.5415316194993,77.5473759075812,32.5866907808178,34.7531483870071,35.3696664804961,70.6508844541692,32.954096080508,41.8653526527981,97.5654549419773,84.3310199905992,113.655736773314,108.59744886493,90.8504510724896,122.154810863635
"gene-LOC124188295",4.68462627456969,13.372046894877,6.97724719689094,7.81880041730055,6.91180536356096,4.69154645882073,14.2039065477642,4.75899271160266,4.84914315640426,22.2473459927474,17.3420228429125,21.5187305178636,7.42563596859253,4.93165344778057,8.35522227502259,8.72052462676155,11.9168324264955,4.08982900424933,1.51074061036942,1.78712483781842,3.07747702278718,9.23986694591598,1.64107950209648,6.64691793493554,24.4400180856134,27.8025187096057,23.0314107314858,28.4712519442174,28.4087035176793,20.0953692733431,50.2175135730765,100.920728841209,81.7523720650151,117.647236270341,105.126950526738,87.2534363311675
"gene-LOC124188296",274.519099689784,323.603534856023,265.135393481856,291.529558416492,315.639111602617,320.589008019417,250.935682343834,252.226613714941,198.814869412575,237.642104922529,275.738163202309,307.41043596948,239.105478188679,225.623145235961,245.434654328788,233.274033765871,239.329717898784,280.153286791079,166.181467140636,125.098738647289,173.877451787476,144.757915486017,147.697155188683,175.035505619969,241.141511778052,226.391938063932,221.266053098917,233.042469617483,245.451198392749,190.906008096759,289.826792621756,344.236458650151,369.879634586836,345.400219306515,333.550941794712,269.516170000717
"gene-LOC124188297",8070.67414582867,7509.74153616292,8541.89488079373,7291.58987487685,7935.90452492858,7858.34031852473,8969.76698491308,8668.50522418425,9492.19772866135,8754.33064814609,8246.13186180489,7822.05854324343,8631.55924989196,8097.7749612557,8748.96212473303,7340.50160457653,7696.28760877834,7786.01196683967,10247.3535601358,10134.7849552683,10538.8200645347,9541.70259948257,8989.83351248451,8699.70775717479,7261.94404050526,7112.48005417519,8083.20261636826,6959.63936414204,6102.18951559752,6984.81543659283,12294.6821087912,12146.4318301214,10965.7846383305,12383.1257664039,11220.0307074525,11969.2324993844
"gene-LOC124188298",326.049988710051,273.681226448482,392.470154825115,223.394297637159,270.712376739471,270.545845791996,414.280607643122,421.170854976836,470.366886171214,376.182395877365,305.21960203526,312.021592509023,329.698237005508,378.504402117159,311.232029744591,303.038230779964,279.052492653769,279.130829540017,430.561073955285,414.612962373874,441.61795276996,329.555254404337,305.240787389945,309.081683974502,139.308103087996,234.335514838105,202.347394283768,142.356259721087,152.270650854761,133.131821435898,295.565937030108,334.559128487295,247.251076489314,248.869153648799,251.785535829471,254.004447986288
"gene-LOC124188299",659.595379459413,714.067304186431,638.418118515521,764.008497919082,752.234817067551,672.454992430972,656.930677834094,561.561139969114,514.009174578852,725.06123076363,643.389047472053,700.895794010415,675.73287314192,611.525027524791,607.842420507893,819.729314915585,759.698067189087,843.527232126425,581.635134992227,536.137451345526,630.882789671372,591.351484538623,618.686972290373,669.123072116844,89.6133996472491,92.3440799997617,86.3677902430719,93.8496823346427,110.225769648596,84.5680123586521,195.130909883955,226.726020958332,309.063845611642,245.852557846995,199.870992359477,275.333065756129
"gene-LOC124188300",116.178731609328,130.154589776803,245.947963690406,198.820924897071,253.432863330569,159.512579599905,129.018817808858,268.88308820555,298.222304118862,127.416617958462,379.790300259783,462.652706134068,288.11467558139,242.883932303193,246.479057113166,139.528394028185,103.279214362961,184.04230519122,202.439241789502,335.979469509863,131.562142724152,272.576074904521,223.186812285121,200.515357703889,294.909551566401,297.884129031489,385.776129752388,352.199931458097,330.677308945787,322.363215426545,179.348262760988,347.001410125252,200.393009574,337.858729802006,212.849628226976,188.079629424961
"gene-LOC124188301",32.7923839219879,42.7905500636064,34.8862359844547,54.7316029211038,70.2700211962031,29.7131275725313,5.91829439490174,11.8974817790067,26.6702873602234,43.4834489858244,76.304900508815,32.2780957767954,78.7117412670808,34.521574134464,72.0637921220698,67.584065857402,139.029711642447,52.145319804179,90.6444366221653,69.6978686749184,116.174757610216,75.4589133916472,75.489657096438,95.2724904007427,95.3160705338922,81.4216619352737,92.1256429259433,178.208947354546,161.361435980418,114.711066268667,55.9566579814281,47.0041750767274,81.7523720650151,180.995748108217,121.999177154486,170.628942158728
"gene-LOC124188302",145.223414511661,147.983985636639,137.800632138596,128.451721141366,140.540042392406,137.618696125408,139.671747719681,149.908270415484,189.116583099766,131.461589957144,126.596766753261,115.278913488555,221.283951864057,168.909130586485,220.368987503721,167.87009906516,175.773278290808,158.480873914662,214.525166672458,160.841235403658,152.335112627965,158.617715904891,139.491757678201,150.663473191872,117.312086810944,115.181863225509,97.8834956088148,87.5227374581499,82.9534142716236,125.596057958394,127.695963085823,141.012525230182,119.63761765612,119.155534171243,142.764994542484,127.971706619046
"gene-LOC124188303",4.68462627456969,5.3488187579508,6.97724719689094,4.46788595274317,3.45590268178048,7.81924409803455,8.28561215286244,7.13848906740399,4.84914315640426,13.1461589957144,5.20260685287375,9.22231307908441,2.97025438743701,6.16456680972571,8.35522227502259,6.54039347007116,7.94455495099699,3.067371753187,22.6611091555413,3.57424967563684,9.23243106836154,9.23986694591598,3.28215900419296,6.64691793493554,12.2200090428067,14.8942064515745,18.0961084318817,12.6538897529855,14.7725258291932,19.2580622202871,14.347861020879,15.2072331130589,5.98188088280598,9.04978740541087,9.08504510724896,7.75586100721489
