LOC124188509	GO:0032051,GO:0008022,GO:0030130,GO:0007030,GO:0000813,GO:0005198,GO:0005770,GO:0046755,GO:0042277,GO:0042058,GO:0006886,GO:0098850,GO:0072583,GO:0051301,GO:1990763,GO:0050750,GO:0030669,GO:0048488,GO:0048268,GO:0030506,GO:0003725,GO:0150093,GO:0006914,GO:0005829,GO:0098835,GO:0071439,GO:0019901,GO:1903077,GO:0031072,GO:0042802,GO:0033572,GO:1900126,GO:1990381,GO:0042147,GO:0060236,GO:0005764,GO:0030315,GO:1990498,GO:0098684,GO:0042470,GO:0019075,GO:0005938,GO:0005739,GO:0030132,GO:0031523,GO:0031623,GO:0090307,GO:0097718
LOC124188471	GO:0005789,GO:0016021,GO:0031501,GO:0000009,GO:0004376,GO:0016787,GO:0006506,GO:0097502
LOC124196240	GO:0005764,GO:0005829,GO:0019898,GO:0034045,GO:0005515,GO:0032266,GO:0062078,GO:0080025,GO:0000422,GO:0006497,GO:0009267,GO:0034497,GO:0044804
LOC124196253	GO:0008934,GO:0046872,GO:0052832,GO:0052833,GO:0006021,GO:0007165,GO:0046854,GO:0046855
LOC124196225	GO:0004725,GO:0006470,GO:0016020
LOC124196245	GO:0005634,GO:0008276,GO:0006479
LOC124196269	GO:0005737,GO:0015629,GO:0005515,GO:0030041
LOC124195904	GO:0090502,GO:0003677,GO:0004523,GO:0005515,GO:1905786,GO:0005680,GO:0006310,GO:0015074,GO:1990757,GO:1904668,GO:0010997
LOC124192242	GO:0003676,GO:0046983,GO:0015074
LOC124195996	GO:0005794,GO:0034237,GO:0034199,GO:0042274
LOC124196058	GO:0016021
LOC124192252	GO:0003676,GO:0004190,GO:0008270,GO:0006508
LOC124192264	GO:0016874
LOC124192273	GO:0030170,GO:0019264,GO:0035999,GO:0004372
LOC124192281	GO:0008199,GO:0003824
LOC124192287	GO:0097573,GO:0005524,GO:0004748,GO:0046872,GO:0006260,GO:0009263,GO:0098869,GO:0004362
LOC124192294	GO:0097573,GO:0005524,GO:0004748,GO:0050660,GO:0006260,GO:0098869,GO:0004362,GO:0006231,GO:0050797
LOC124192385	GO:0000166
LOC124196757	GO:0005634,GO:0005829,GO:0030688,GO:0046872,GO:0000056,GO:0042274
LOC124196843	GO:0043291,GO:0005515,GO:0007035
LOC124197216	GO:0000276,GO:0005634,GO:0016021,GO:0000981,GO:0015078,GO:0006357,GO:0015986
LOC124197458	GO:0030176,GO:0051267,GO:0006506
LOC124197293	GO:0030176,GO:0051267,GO:0006506
LOC124192329	GO:0004672,GO:0005524,GO:0006468
LOC124192370	GO:0005737,GO:0015031
LOC124192361	GO:0005515,GO:0061608,GO:0005737,GO:0006607,GO:0008139,GO:0005654
LOC124192353	GO:0005515,GO:0002244
LOC124192315	GO:0005886,GO:0016021,GO:0004930,GO:0007186
LOC124192350	GO:0000978,GO:0000981,GO:0006357
LOC124192303	GO:0005737,GO:0005515
LOC124192471	GO:0048471,GO:0003684,GO:0003904,GO:0071949,GO:0000719,GO:0018298
LOC124194697	GO:0019005,GO:0005515,GO:0031146
LOC124193991	GO:0005524,GO:0016192,GO:0030705,GO:0005737,GO:0005871,GO:0008574,GO:0007018,GO:0005874,GO:0008017
