Sample,Group
Sc-24-a,Scarlet24
Sc-24-c,Scarlet24
Sc-24-e,Scarlet24
Sc-2A-a,Scarlet2A
Sc-2A-b,Scarlet2A
Sc-2A-c,Scarlet2A
Sc-4J-a,Scarlet4J
Sc-4J-b,Scarlet4J
Sc-4J-e,Scarlet4J
WT-24-a,WildType24
WT-24-c,WildType24
WT-24-d,WildType24
WT-2A-a,WildType2A
WT-2A-b,WildType2A
WT-2A-c,WildType2A
WT-4J-b,WildType4J
WT-4J-c,WildType4J
WT-4J-d,WildType4J
